Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,4.25107e-05,0.620563,0.379437,0.705818,0.294182
0.01,0,4.27456e-05,0.643274,0.356726,0.724878,0.275122
0.01,0,4.29805e-05,0.674818,0.325182,0.760778,0.239222
0.01,0,4.32153e-05,0.709404,0.290596,0.790469,0.209531
0.01,0,4.34502e-05,0.739746,0.260254,0.812773,0.187227
0.01,0,4.36851e-05,0.759161,0.240839,0.827938,0.172062
0.01,0,4.39199e-05,0.784938,0.215062,0.856703,0.143297
0.01,0,4.41548e-05,0.808178,0.191822,0.876945,0.123055
0.01,0,4.43897e-05,0.834499,0.165501,0.900294,0.0997065
0.01,0,4.46245e-05,0.857408,0.142592,0.917186,0.0828141
0.01,0,4.48594e-05,0.885327,0.114673,0.938523,0.0614774
0.01,0,4.50943e-05,0.897074,0.102926,0.942762,0.0572377
0.01,0,4.53291e-05,0.907328,0.092672,0.955866,0.0441342
0.01,0,4.5564e-05,0.924759,0.0752405,0.972672,0.0273279
0.01,0,4.57989e-05,0.939491,0.0605085,0.981577,0.0184234
0.01,0,4.60337e-05,0.952299,0.047701,0.988918,0.0110819
0.01,0,4.62686e-05,0.967234,0.0327662,0.995978,0.00402247
0.01,0,4.65035e-05,0.975106,0.0248935,0.997902,0.00209821
0.01,0,4.67383e-05,0.981713,0.0182871,0.999777,0.000222948
0.01,0,4.69732e-05,0.985509,0.0144908,0.999758,0.000242436
0.01,0,4.72081e-05,0.98677,0.0132298,0.997577,0.00242332
0.01,0,4.74429e-05,0.990727,0.00927301,0.996531,0.00346932
0.01,0,4.76778e-05,0.991006,0.00899402,0.990333,0.00966696
0.01,0,4.79127e-05,0.991782,0.00821793,0.986211,0.0137887
0.01,0,4.81475e-05,0.989765,0.0102352,0.975705,0.0242951
0.01,0,4.83824e-05,0.985077,0.0149233,0.963407,0.0365929
0.01,0,4.86173e-05,0.979329,0.0206709,0.951479,0.0485208
0.01,0,4.88521e-05,0.970653,0.029347,0.934705,0.0652951
0.01,0,4.9087e-05,0.961409,0.0385913,0.920147,0.079853
0.01,0,4.93218e-05,0.955583,0.0444165,0.909226,0.0907736
0.01,0,4.95567e-05,0.942846,0.057154,0.881552,0.118448
0.01,0,4.97916e-05,0.936067,0.0639332,0.870798,0.129202
0.01,0,5.00264e-05,0.929491,0.0705095,0.849818,0.150182
0.01,0,5.02613e-05,0.908299,0.0917008,0.806957,0.193043
0.01,0,5.04962e-05,0.896275,0.103725,0.796853,0.203147
0.01,0,5.0731e-05,0.87772,0.12228,0.763463,0.236537
0.01,0,5.09659e-05,0.852675,0.147325,0.729703,0.270297
0.01,0,5.12008e-05,0.823607,0.176393,0.69906,0.30094
0.01,0,5.14356e-05,0.794666,0.205334,0.672386,0.327614
0.01,0,5.16705e-05,0.777227,0.222773,0.657481,0.342519
0.01,0,5.19054e-05,0.752071,0.247929,0.619301,0.380699
0.01,0,5.21402e-05,0.724984,0.275016,0.587512,0.412488
0.01,0,5.23751e-05,0.699277,0.300723,0.558736,0.441264
0.01,0,5.261e-05,0.671774,0.328226,0.526171,0.473829
0.01,0,5.28448e-05,0.627864,0.372136,0.478063,0.521937
0.01,0,5.30797e-05,0.614234,0.385766,0.478544,0.521456
0.01,0,5.33146e-05,0.595775,0.404225,0.442344,0.557656
0.01,0,5.35494e-05,0.579488,0.420512,0.413552,0.586448
0.01,0,5.37843e-05,0.551781,0.448219,0.37163,0.62837
0.01,0,5.40192e-05,0.537313,0.462687,0.353742,0.646258
0.01,0,5.4254e-05,0.509822,0.490178,0.312023,0.687977
0.01,0,5.44889e-05,0.47552,0.52448,0.277527,0.722473
0.01,0,5.47238e-05,0.447941,0.552059,0.255545,0.744455
0.01,0,5.49586e-05,0.403297,0.596703,0.214007,0.785993
0.01,0,5.51935e-05,0.368679,0.631321,0.196428,0.803572
0.01,0,5.54284e-05,0.345336,0.654664,0.18069,0.81931
0.01,0,5.56632e-05,0.30962,0.69038,0.14727,0.85273
0.01,0,5.58981e-05,0.263293,0.736707,0.117523,0.882477
0.01,0,5.6133e-05,0.244741,0.755259,0.116318,0.883682
0.01,0,5.63678e-05,0.221096,0.778904,0.0931069,0.906893
0.01,0,5.66027e-05,0.198913,0.801087,0.0758955,0.924104
0.01,0,5.68376e-05,0.178274,0.821726,0.0606381,0.939362
0.01,0,5.70724e-05,0.149524,0.850476,0.0414513,0.958549
0.01,0,5.73073e-05,0.127552,0.872448,0.0321415,0.967859
0.01,0,5.75422e-05,0.110755,0.889245,0.0237569,0.976243
0.01,0,5.7777e-05,0.0957969,0.904203,0.015412,0.984588
0.01,0,5.80119e-05,0.0714699,0.92853,0.00541901,0.994581
0.01,0,5.82468e-05,0.0514638,0.948536,0.00200119,0.997999
0.01,0,5.84816e-05,0.0440031,0.955997,0.00134652,0.998653
0.01,0,5.87165e-05,0.0335606,0.966439,2.09779e-05,0.999979
0.01,0,5.89514e-05,0.0299217,0.970078,0.00264955,0.99735
0.01,0,5.91862e-05,0.022512,0.977488,0.00469531,0.995305
0.01,0,5.94211e-05,0.012935,0.987065,0.00716274,0.992837
0.01,0,5.9656e-05,0.00886927,0.991131,0.0166334,0.983367
0.01,0,5.98908e-05,0.0047576,0.995242,0.0214382,0.978562
0.01,0,6.01257e-05,0.00385591,0.996144,0.0332273,0.966773
0.01,0,6.03605e-05,0.00525179,0.994748,0.0469705,0.95303
0.01,0,6.05954e-05,0.00754014,0.99246,0.0592466,0.940753
0.01,0,6.08303e-05,0.0139577,0.986042,0.0820832,0.917917
