Time theta phi abs_alpha2 abs_beta2
3.47602e-05 0.00929782 0.281384 0.999978 2.16122e-05
3.4995e-05 0.10382 -0.143659 0.997308 0.0026922
3.52299e-05 0.0736737 2.73206 0.998644 0.00135634
3.54648e-05 0.0997067 2.31845 0.997517 0.0024833
3.56996e-05 0.0111235 -1.49451 0.999969 3.09329e-05
3.59345e-05 0.0830521 1.35291 0.998277 0.00172342
3.61694e-05 0.129884 -2.07062 0.995788 0.00421155
3.64042e-05 0.131731 0.794931 0.995668 0.00433198
3.66391e-05 0.060872 -2.72176 0.999074 0.000926064
3.6874e-05 0.0779391 0.0489148 0.998482 0.00151786
3.71088e-05 0.00719789 2.6618 0.999987 1.29523e-05
3.73437e-05 0.0116294 -0.428983 0.999966 3.38101e-05
3.75786e-05 0.0493203 -0.631221 0.999392 0.000608
3.78134e-05 0.0934916 -1.32188 0.997816 0.00218358
3.80483e-05 0.023958 -1.58854 0.999857 0.00014349
3.82832e-05 0.049695 1.08701 0.999383 0.000617271
3.8518e-05 0.0586818 0.895429 0.999139 0.000860642
3.87529e-05 0.053368 -2.70905 0.999288 0.000711866
3.89877e-05 0.0743835 0.260933 0.998617 0.00138259
3.92226e-05 0.0219039 3.13556 0.99988 0.00011994
3.94575e-05 0.119186 2.73591 0.996453 0.00354713
3.96923e-05 0.0112839 2.42239 0.999968 3.18312e-05
3.99272e-05 0.0222894 -1.13814 0.999876 0.000124199
4.01621e-05 0.0653614 -1.50461 0.998932 0.00106765
4.03969e-05 0.0172676 1.37289 0.999925 7.4541e-05
4.06318e-05 0.0442294 0.760757 0.999511 0.000488979
4.08667e-05 0.0621355 0.287089 0.999035 0.000964895
4.11015e-05 0.109873 2.98475 0.996985 0.003015
4.13364e-05 0.097982 -0.379848 0.997602 0.0023982
4.15713e-05 0.0338021 -0.780639 0.999714 0.000285619
4.18061e-05 0.0684399 1.92316 0.998829 0.00117055
4.2041e-05 0.0289122 1.57523 0.999791 0.000208965
4.22759e-05 0.0735758 1.22791 0.998647 0.00135274
4.25107e-05 0.0788337 0.860448 0.998447 0.00155288
4.27456e-05 0.00815737 -2.36079 0.999983 1.66356e-05
4.29805e-05 0.0342414 0.269634 0.999707 0.00029309
4.32153e-05 0.107831 -0.0899611 0.997096 0.00290407
4.34502e-05 0.0279131 -0.301058 0.999805 0.000194773
4.36851e-05 0.0590351 2.42538 0.999129 0.000871031
4.39199e-05 0.101845 2.05877 0.997409 0.00259086
4.41548e-05 0.0134215 1.55809 0.999955 4.50336e-05
4.43897e-05 0.0469599 1.1758 0.999449 0.000551206
4.46245e-05 0.0327813 -2.26188 0.999731 0.00026863
4.48594e-05 0.0509692 0.905233 0.999351 0.000649325
4.50943e-05 0.0456122 -2.74979 0.99948 0.000520029
4.53291e-05 0.0882039 0.115813 0.998056 0.00194372
4.5564e-05 0.102914 2.79736 0.997355 0.00264547
4.57989e-05 0.0559238 2.4831 0.999218 0.000781663
4.60337e-05 0.0693218 -1.26374 0.998799 0.0012009
4.62686e-05 0.0543278 -1.69281 0.999262 0.000737696
4.65035e-05 0.064 0.953688 0.998976 0.00102365
4.67383e-05 0.0997775 0.555838 0.997513 0.00248682
4.69732e-05 0.0201437 -2.52481 0.999899 0.000101438
4.72081e-05 0.11944 0.267301 0.996438 0.00356221
4.74429e-05 0.0862502 3.05324 0.998141 0.00185862
4.76778e-05 0.066966 2.69457 0.998879 0.00112069
4.79127e-05 0.103823 2.23517 0.997308 0.0026924
4.81475e-05 0.068456 1.92245 0.998829 0.0011711
4.83824e-05 0.0744042 1.68395 0.998617 0.00138336
4.86173e-05 0.0657991 -1.73567 0.998918 0.00108199
4.88521e-05 0.106734 -2.12739 0.997155 0.00284534
4.9087e-05 0.0849715 0.535836 0.998196 0.00180395
4.93218e-05 0.133424 0.0168595 0.995556 0.00444389
4.95567e-05 0.0868331 -0.410316 0.998116 0.00188381
