Time abs_alpha2 abs_beta2
6.31789e-05 0.311673 0.68447
6.34138e-05 0.341026 0.655103
6.36487e-05 0.370997 0.625117
6.38835e-05 0.401469 0.594631
6.41184e-05 0.43232 0.563766
6.43533e-05 0.46343 0.532642
6.45881e-05 0.494675 0.501382
6.4823e-05 0.525933 0.47011
6.50579e-05 0.55708 0.438949
6.52927e-05 0.587993 0.408022
6.55276e-05 0.61855 0.37745
6.57625e-05 0.648631 0.347355
6.59973e-05 0.678117 0.317855
6.62322e-05 0.706891 0.289066
6.64671e-05 0.734842 0.261101
6.67019e-05 0.761857 0.234072
6.69368e-05 0.787831 0.208084
6.71717e-05 0.812661 0.183239
6.74065e-05 0.836249 0.159637
6.76414e-05 0.858503 0.137369
6.78763e-05 0.879334 0.116524
6.81111e-05 0.89866 0.0971829
6.8346e-05 0.916406 0.079423
6.85809e-05 0.9325 0.0633139
6.88157e-05 0.946881 0.0489191
6.90506e-05 0.95949 0.0362952
6.92855e-05 0.970279 0.0254919
6.95203e-05 0.979205 0.0165518
6.97552e-05 0.986233 0.00951004
6.99901e-05 0.991334 0.00439427
7.02249e-05 0.99449 0.00122459
7.04598e-05 0.995686 1.34322e-05
7.06947e-05 0.99492 0.000765481
7.09295e-05 0.992194 0.00347769
7.11644e-05 0.987518 0.00813927
7.13992e-05 0.980911 0.0147318
7.16341e-05 0.972399 0.0232291
7.1869e-05 0.962016 0.0335977
7.21038e-05 0.949803 0.0457965
7.23387e-05 0.935808 0.0597774
7.25736e-05 0.920086 0.0754852
7.28084e-05 0.902699 0.0928579
7.30433e-05 0.883716 0.111827
7.32782e-05 0.863211 0.132317
7.3513e-05 0.841266 0.154248
7.37479e-05 0.817967 0.177533
7.39828e-05 0.793406 0.20208
7.42176e-05 0.767679 0.227792
7.44525e-05 0.740889 0.254567
7.46874e-05 0.713141 0.282301
7.49222e-05 0.684544 0.310884
7.51571e-05 0.655211 0.340203
7.5392e-05 0.625258 0.370141
7.56268e-05 0.594803 0.400582
7.58617e-05 0.563965 0.431406
7.60966e-05 0.532868 0.462489
7.63314e-05 0.501632 0.49371
7.65663e-05 0.470381 0.524947
7.68012e-05 0.439239 0.556074
7.7036e-05 0.408329 0.586971
7.72709e-05 0.377771 0.617514
7.75058e-05 0.347687 0.647584
7.77406e-05 0.318195 0.677061
7.79755e-05 0.289412 0.70583
7.82104e-05 0.261451 0.733777
7.84452e-05 0.234421 0.760793
7.86801e-05 0.20843 0.786769
7.8915e-05 0.183581 0.811604
7.91498e-05 0.15997 0.835201
7.93847e-05 0.137691 0.857465
7.96196e-05 0.116832 0.87831
7.98544e-05 0.0974755 0.897652
8.00893e-05 0.0796969 0.915417
8.03242e-05 0.0635666 0.931533
8.0559e-05 0.0491482 0.945937
8.07939e-05 0.0364983 0.958572
8.10288e-05 0.0256669 0.969389
8.12636e-05 0.0166966 0.978346
8.14985e-05 0.0096226 0.985405
8.17334e-05 0.00447276 0.990541
8.19682e-05 0.00126731 0.993732
8.22031e-05 1.87994e-05 0.994966
8.24379e-05 0.000732071 0.994239
8.26728e-05 0.00340423 0.991552
8.29077e-05 0.00802464 0.986917
8.31425e-05 0.014575 0.980353
8.33774e-05 0.0230294 0.971884
8.36123e-05 0.0333545 0.961545
8.38471e-05 0.0455093 0.949376
8.4082e-05 0.059446 0.935425
8.43169e-05 0.0751094 0.919747
8.45517e-05 0.0924378 0.902404
8.47866e-05 0.111363 0.883465
8.50215e-05 0.131809 0.863004
8.52563e-05 0.153697 0.841102
8.54912e-05 0.17694 0.817845
8.57261e-05 0.201445 0.793325
8.59609e-05 0.227117 0.767639
8.61958e-05 0.253854 0.740888
8.64307e-05 0.281551 0.713177
8.66655e-05 0.310097 0.684616
8.69004e-05 0.339381 0.655318
8.71353e-05 0.369288 0.625397
8.73701e-05 0.399698 0.594972
8.7605e-05 0.430493 0.564163
8.78399e-05 0.46155 0.533092
8.80747e-05 0.492748 0.50188
8.83096e-05 0.523962 0.470651
8.85445e-05 0.555071 0.439528
8.87793e-05 0.585951 0.408634
8.90142e-05 0.61648 0.37809
8.92491e-05 0.646539 0.348018
8.94839e-05 0.676008 0.318534
8.97188e-05 0.704771 0.289757
8.99537e-05 0.732715 0.261798
9.01885e-05 0.75973 0.234769
9.04234e-05 0.785709 0.208776
9.06583e-05 0.81055 0.183921
9.08931e-05 0.834154 0.160302
9.1128e-05 0.856429 0.138012
9.13629e-05 0.877288 0.11714
9.15977e-05 0.896646 0.0977671
9.18326e-05 0.914429 0.0799699
9.20675e-05 0.930566 0.0638185
9.23023e-05 0.944994 0.0493765
9.25372e-05 0.957655 0.0367008
9.27721e-05 0.968501 0.0258413
9.30069e-05 0.977487 0.0168408
9.32418e-05 0.984579 0.00973465
9.34766e-05 0.989748 0.00455082
9.37115e-05 0.992975 0.00130965
9.39464e-05 0.994247 2.38451e-05
9.41812e-05 0.993558 0.000698393
9.44161e-05 0.990911 0.00333055
9.4651e-05 0.986318 0.00790985
9.48858e-05 0.979795 0.0144181
9.51207e-05 0.971369 0.0228297
9.53556e-05 0.961074 0.0331112
9.55904e-05 0.948948 0.0452222
9.58253e-05 0.935042 0.0591146
9.60602e-05 0.919408 0.0747337
9.6295e-05 0.90211 0.0920179
9.65299e-05 0.883215 0.110899
9.67648e-05 0.862797 0.131302
9.69996e-05 0.840938 0.153147
9.72345e-05 0.817724 0.176347
9.74694e-05 0.793245 0.200811
9.77042e-05 0.767599 0.226443
9.79391e-05 0.740887 0.253141
9.8174e-05 0.713214 0.2808
9.84088e-05 0.684689 0.30931
9.86437e-05 0.655425 0.33856
9.88786e-05 0.625536 0.368434
9.91134e-05 0.595142 0.398814
9.93483e-05 0.564362 0.42958
9.95832e-05 0.533316 0.460611
9.9818e-05 0.502129 0.491785
0.000100053 0.470921 0.522978
0.000100288 0.439818 0.554067
0.000100523 0.40894 0.584931
0.000100757 0.37841 0.615446
0.000100992 0.348349 0.645493
0.000101227 0.318874 0.674954
0.000101462 0.290102 0.703711
0.000101697 0.262147 0.731652
0.000101932 0.235118 0.758667
0.000102167 0.209122 0.784649
0.000102402 0.184262 0.809495
0.000102636 0.160635 0.833107
0.000102871 0.138335 0.855393
0.000103106 0.117449 0.876265
0.000103341 0.09806 0.895639
0.000103576 0.0802442 0.913441
0.000103811 0.0640716 0.929599
0.000104046 0.0496062 0.94405
0.00010428 0.0369047 0.956738
0.000104515 0.0260172 0.967611
0.00010475 0.0169866 0.976627
0.000104985 0.00984833 0.983751
0.00010522 0.00463055 0.988955
0.000105455 0.00135373 0.992217
0.00010569 3.06864e-05 0.993526
0.000105925 0.000666565 0.992876
0.000106159 0.00325877 0.990269
0.000106394 0.007797 0.985717
0.000106629 0.0142633 0.979236
0.000106864 0.022632 0.970853
0.000107099 0.0328701 0.960601
0.000107334 0.0449371 0.94852
0.000107569 0.0587854 0.934657
0.000107803 0.0743602 0.919068
0.000108038 0.0916001 0.901814
0.000108273 0.110437 0.882963
0.000108508 0.130797 0.862589
0.000108743 0.152598 0.840773
0.000108978 0.175757 0.8176
0.000109213 0.20018 0.793163
0.000109448 0.225771 0.767557
0.000109682 0.25243 0.740884
0.000109917 0.280051 0.713248
0.000110152 0.308526 0.68476
0.000110387 0.337742 0.65553
0.000110622 0.367583 0.625674
0.000110857 0.397932 0.59531
0.000111092 0.42867 0.564558
0.000111326 0.459675 0.533539
0.000111561 0.490824 0.502375
0.000111796 0.521996 0.47119
0.000112031 0.553066 0.440105
0.000112266 0.583913 0.409244
0.000112501 0.614414 0.378729
0.000112736 0.64445 0.348678
0.000112971 0.673902 0.319212
0.000113205 0.702654 0.290446
0.00011344 0.730592 0.262494
0.000113675 0.757606 0.235466
0.00011391 0.78359 0.209467
0.000114145 0.808441 0.184602
0.00011438 0.832062 0.160967
0.000114615 0.854358 0.138656
0.000114849 0.875243 0.117757
0.000115084 0.894634 0.0983519
0.000115319 0.912454 0.0805176
0.000115554 0.928633 0.064324
0.000115789 0.943108 0.0498351
0.000116024 0.955821 0.0371079
0.000116259 0.966722 0.0261924
0.000116494 0.975769 0.0171318
0.000116728 0.982925 0.00996151
0.000116963 0.988162 0.00470986
0.000117198 0.99146 0.00139743
0.000117433 0.992806 3.72044e-05
0.000117668 0.992195 0.000634469
0.000117903 0.989628 0.00318678
0.000118138 0.985117 0.00768399
0.000118372 0.978678 0.0141083
0.000118607 0.970338 0.0224342
0.000118842 0.960129 0.0326289
0.000119077 0.948091 0.0446521
0.000119312 0.934273 0.0584562
0.000119547 0.918728 0.0739868
0.000119782 0.901518 0.0911825
0.000120017 0.882711 0.109975
0.000120251 0.862381 0.130292
0.000120486 0.840607 0.15205
0.000120721 0.817477 0.175166
0.000120956 0.793081 0.199548
0.000121191 0.767516 0.225099
0.000121426 0.740882 0.251719
0.000121661 0.713284 0.279303
0.000121895 0.684831 0.307742
0.00012213 0.655635 0.336923
0.000122365 0.625812 0.366732
0.0001226 0.595479 0.397051
0.000122835 0.564755 0.42776
0.00012307 0.533763 0.458739
0.000123305 0.502623 0.489864
0.000123539 0.471459 0.521014
0.000123774 0.440393 0.552065
0.000124009 0.409549 0.582895
0.000124244 0.379047 0.613382
0.000124479 0.349009 0.643407
0.000124714 0.319551 0.67285
0.000124949 0.290791 0.701596
0.000125184 0.262842 0.729531
0.000125418 0.235814 0.756545
0.000125653 0.209813 0.782531
0.000125888 0.184943 0.807387
0.000126123 0.1613 0.831016
0.000126358 0.138978 0.853323
0.000126593 0.118066 0.874221
0.000126828 0.0986451 0.893628
0.000127062 0.0807922 0.911467
0.000127297 0.0645777 0.927667
0.000127532 0.0500654 0.942165
0.000127767 0.0373125 0.954903
0.000128002 0.0263692 0.965833
0.000128237 0.0172785 0.974909
0.000128472 0.0100763 0.982097
0.000128707 0.00479083 0.987368
0.000128941 0.00144286 0.990702
0.000129176 4.55132e-05 0.992085
0.000129411 0.000604217 0.991512
0.000129646 0.00311668 0.988985
0.000129881 0.00757292 0.984515
0.000130116 0.0139553 0.978118
0.000130351 0.0222385 0.969821
0.000130585 0.0323898 0.959655
0.00013082 0.0443692 0.947662
0.000131055 0.0581292 0.933887
0.00013129 0.0736156 0.918387
0.000131525 0.0907671 0.901221
0.00013176 0.109516 0.882458
0.000131995 0.129789 0.862171
0.00013223 0.151505 0.840441
0.000132464 0.174578 0.817353
0.000132699 0.198919 0.792998
0.000132934 0.22443 0.767473
0.000133169 0.251011 0.740877
0.000133404 0.278557 0.713317
0.000133639 0.30696 0.6849
0.000133874 0.336107 0.655739
0.000134108 0.365883 0.625948
0.000134343 0.396171 0.595646
0.000134578 0.426852 0.564951
0.000134813 0.457804 0.533984
0.000135048 0.488906 0.502868
0.000135283 0.520034 0.471726
0.000135518 0.551066 0.44068
0.000135753 0.581879 0.409852
0.000135987 0.612353 0.379365
0.000136222 0.642366 0.349337
0.000136457 0.6718 0.319889
0.000136692 0.70054 0.291135
0.000136927 0.728471 0.263189
0.000137162 0.755485 0.236161
0.000137397 0.781474 0.210158
0.000137631 0.806335 0.185282
0.000137866 0.829972 0.161632
0.000138101 0.852289 0.1393
0.000138336 0.873201 0.118374
