Temps theta phi abs_alpha2 abs_beta2
7.53268e-08 0.0220773 1.15434 0.999878 0.000121847
7.56838e-08 0.101942 1.29968 0.997404 0.00259579
7.60408e-08 0.0182982 1.69376 0.999916 8.37036e-05
7.63978e-08 0.0296616 2.07306 0.99978 0.000219936
7.67548e-08 0.0397215 2.48876 0.999606 0.000394397
7.71118e-08 0.037546 -0.368909 0.999648 0.000352385
7.74688e-08 0.00884033 3.11281 0.99998 1.95377e-05
7.78258e-08 0.0279673 -2.73835 0.999804 0.000195529
7.81828e-08 0.11047 0.925857 0.996952 0.00304779
7.85398e-08 0.0515302 -1.85665 0.999336 0.000663692
7.88968e-08 0.0269329 -1.2532 0.999819 0.000181334
7.92538e-08 0.0251986 2.1715 0.999841 0.000158734
7.96108e-08 0.0232443 2.57658 0.999865 0.000135069
7.99678e-08 0.0702419 -0.0771666 0.998767 0.00123297
8.03248e-08 0.0345132 -3.07596 0.999702 0.000297761
8.06818e-08 0.0531919 -2.66836 0.999293 0.000707178
8.10388e-08 0.0396612 0.940579 0.999607 0.000393201
8.13958e-08 0.0303555 1.41774 0.99977 0.000230347
8.17528e-08 0.0544169 1.71109 0.99926 0.000740117
8.21098e-08 0.0665584 2.04837 0.998893 0.0011071
8.24668e-08 0.0235411 2.49657 0.999861 0.000138539
8.28238e-08 0.0268084 -0.0811692 0.99982 0.000179661
8.31808e-08 0.00644298 0.179096 0.99999 1.03779e-05
8.35378e-08 0.0603216 -2.36446 0.999091 0.000909398
8.38948e-08 0.0557541 1.28461 0.999223 0.000776929
8.42518e-08 0.00171633 -1.39296 0.999999 7.36444e-07
8.46088e-08 0.130675 2.08581 0.995737 0.00426295
8.49658e-08 0.0965892 2.54879 0.997669 0.00233056
8.53228e-08 0.0175707 2.96675 0.999923 7.71803e-05
8.56798e-08 0.023173 0.0763465 0.999866 0.000134241
8.60368e-08 0.0399645 -2.75625 0.999601 0.000399237
8.63938e-08 0.0358356 0.792308 0.999679 0.000321014
8.67508e-08 0.013183 1.24109 0.999957 4.34471e-05
8.71078e-08 0.00184259 1.9037 0.999999 8.48781e-07
8.74648e-08 0.0144877 -0.664561 0.999948 5.24723e-05
8.78218e-08 0.060519 3.01916 0.999085 0.000915359
8.81788e-08 0.0629088 -3.08807 0.999011 0.000989052
8.85358e-08 0.0350305 0.463036 0.999693 0.000306753
8.88928e-08 0.00290528 -2.46599 0.999998 2.11016e-06
8.92498e-08 0.130298 1.21183 0.995762 0.00423839
8.96068e-08 0.00218849 1.50189 0.999999 1.19737e-06
8.99638e-08 0.039106 -1.32049 0.999618 0.00038227
9.03208e-08 0.0599008 1.97998 0.999103 0.000896757
9.06778e-08 0.0499715 -0.69531 0.999376 0.000624157
9.10348e-08 0.0635794 2.99355 0.99899 0.00101025
9.13918e-08 0.0499584 -2.86798 0.999376 0.000623831
9.17488e-08 0.0191975 -2.66907 0.999908 9.21327e-05
9.21058e-08 0.0382573 0.655714 0.999634 0.000365861
9.24628e-08 0.00259114 -1.98269 0.999998 1.6785e-06
9.28198e-08 0.00695489 1.58371 0.999988 1.20926e-05
9.31768e-08 0.0506945 -1.33617 0.999358 0.000642344
9.35338e-08 0.0479497 -0.850687 0.999425 0.000574684
9.38908e-08 0.0422004 -0.439729 0.999555 0.000445152
9.42478e-08 0.0988206 -0.0489975 0.997561 0.00243939
9.46048e-08 0.0387455 0.432488 0.999625 0.000375256
9.49618e-08 0.0052861 0.995919 0.999993 6.9857e-06
9.53188e-08 0.0514025 1.37193 0.99934 0.000660409
9.56758e-08 0.0224441 1.59687 0.999874 0.000125929
9.60328e-08 0.0460645 -1.18481 0.99947 0.000530391
9.63898e-08 0.0503988 2.39722 0.999365 0.000634874
9.67468e-08 0.0368769 2.52073 0.99966 0.000339939
9.71038e-08 0.0486762 -0.218159 0.999408 0.000592226
9.74608e-08 0.0402537 0.280008 0.999595 0.000405035
9.78178e-08 0.0611341 0.648684 0.999066 0.000934054
9.81748e-08 0.0634433 -2.11891 0.998994 0.00100593
9.85318e-08 0.0141047 -1.93467 0.99995 4.97348e-05
9.88888e-08 0.00751913 -1.43511 0.999986 1.41343e-05
9.92458e-08 0.0263611 -1.13281 0.999826 0.000173717
9.96028e-08 0.021741 2.15069 0.999882 0.000118163
9.99598e-08 0.0569795 -0.6152 0.999189 0.000811446
1.00317e-07 0.0983906 -0.240572 0.997582 0.00241823
1.00674e-07 0.0824804 -0.113443 0.9983 0.00169979
1.01031e-07 0.0568699 0.220854 0.999192 0.00080833
