Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,9.92458e-08,0.679964,0.320036,0.610405,0.389595
0.01,9.96028e-08,0.703869,0.296131,0.631512,0.368488
0.01,9.99598e-08,0.727253,0.272747,0.661828,0.338172
0.01,1.00317e-07,0.748116,0.251884,0.689182,0.310818
0.01,1.00674e-07,0.774888,0.225112,0.724162,0.275838
0.01,1.01031e-07,0.796117,0.203883,0.746857,0.253143
0.01,1.01388e-07,0.812318,0.187682,0.769626,0.230374
0.01,1.01745e-07,0.8271,0.1729,0.794878,0.205122
0.01,1.02102e-07,0.85288,0.14712,0.831734,0.168266
0.01,1.02459e-07,0.877751,0.122249,0.855783,0.144217
0.01,1.02816e-07,0.889949,0.110051,0.865829,0.134171
0.01,1.03173e-07,0.905288,0.0947117,0.890948,0.109052
0.01,1.0353e-07,0.916249,0.0837505,0.90638,0.0936198
0.01,1.03887e-07,0.933258,0.0667423,0.931009,0.0689913
0.01,1.04244e-07,0.946019,0.0539814,0.943489,0.0565112
0.01,1.04601e-07,0.95051,0.0494903,0.950547,0.0494534
0.01,1.04958e-07,0.958717,0.0412827,0.967586,0.032414
0.01,1.05315e-07,0.963023,0.0369772,0.976007,0.0239933
0.01,1.05672e-07,0.969539,0.030461,0.987065,0.0129349
0.01,1.06029e-07,0.972698,0.0273024,0.992466,0.00753358
0.01,1.06386e-07,0.973652,0.0263482,0.99694,0.00305952
0.01,1.06743e-07,0.972951,0.0270491,0.999479,0.000520607
0.01,1.071e-07,0.974599,0.0254008,0.999519,0.000481294
0.01,1.07457e-07,0.972689,0.0273108,0.996479,0.00352134
0.01,1.07814e-07,0.962064,0.0379362,0.988205,0.0117951
0.01,1.08171e-07,0.957694,0.0423064,0.985955,0.0140452
0.01,1.08528e-07,0.948462,0.051538,0.975161,0.024839
0.01,1.08885e-07,0.933439,0.0665609,0.961352,0.0386476
0.01,1.09242e-07,0.917541,0.0824586,0.949496,0.050504
0.01,1.09599e-07,0.90478,0.0952198,0.939313,0.0606866
0.01,1.09956e-07,0.882693,0.117307,0.916505,0.0834947
0.01,1.10313e-07,0.870237,0.129763,0.908801,0.0911995
0.01,1.1067e-07,0.850141,0.149859,0.883843,0.116157
0.01,1.11027e-07,0.827304,0.172696,0.861322,0.138678
0.01,1.11384e-07,0.814703,0.185297,0.849886,0.150114
0.01,1.11741e-07,0.791783,0.208217,0.817523,0.182477
0.01,1.12098e-07,0.766423,0.233577,0.791626,0.208374
0.01,1.12455e-07,0.757396,0.242604,0.782393,0.217607
0.01,1.12812e-07,0.726672,0.273328,0.734608,0.265392
0.01,1.13169e-07,0.689909,0.310091,0.701655,0.298345
0.01,1.13526e-07,0.665924,0.334076,0.686591,0.313409
0.01,1.13883e-07,0.640648,0.359352,0.656265,0.343735
0.01,1.1424e-07,0.630433,0.369567,0.641425,0.358575
0.01,1.14597e-07,0.606757,0.393243,0.597756,0.402244
0.01,1.14954e-07,0.57257,0.42743,0.556714,0.443286
0.01,1.15311e-07,0.553701,0.446299,0.541181,0.458819
0.01,1.15668e-07,0.529404,0.470596,0.504447,0.495553
0.01,1.16025e-07,0.503589,0.496411,0.471622,0.528378
0.01,1.16382e-07,0.468836,0.531164,0.431476,0.568524
0.01,1.16739e-07,0.446812,0.553188,0.412966,0.587034
0.01,1.17096e-07,0.417908,0.582092,0.375378,0.624622
0.01,1.17453e-07,0.374411,0.625589,0.330687,0.669313
0.01,1.1781e-07,0.342035,0.657965,0.311374,0.688626
0.01,1.18167e-07,0.30593,0.69407,0.278322,0.721678
0.01,1.18524e-07,0.277971,0.722029,0.257446,0.742554
0.01,1.18881e-07,0.246437,0.753563,0.226214,0.773786
0.01,1.19238e-07,0.210158,0.789842,0.194616,0.805384
0.01,1.19595e-07,0.181518,0.818482,0.175777,0.824223
0.01,1.19952e-07,0.159785,0.840215,0.157724,0.842276
0.01,1.20309e-07,0.13374,0.86626,0.130133,0.869867
0.01,1.20666e-07,0.113365,0.886635,0.113374,0.886626
0.01,1.21023e-07,0.102624,0.897376,0.102421,0.897579
0.01,1.2138e-07,0.0870115,0.912989,0.0790293,0.920971
0.01,1.21737e-07,0.0756024,0.924398,0.0657487,0.934251
0.01,1.22094e-07,0.0693895,0.930611,0.0549803,0.94502
0.01,1.22451e-07,0.0553481,0.944652,0.0349876,0.965012
0.01,1.22808e-07,0.0392735,0.960726,0.0216596,0.97834
0.01,1.23165e-07,0.0292784,0.970722,0.0159138,0.984086
0.01,1.23522e-07,0.0206986,0.979301,0.00887316,0.991127
0.01,1.23879e-07,0.0149362,0.985064,0.00465115,0.995349
0.01,1.24236e-07,0.00859011,0.99141,0.000806984,0.999193
0.01,1.24593e-07,0.00470225,0.995298,5.11318e-05,0.999949
0.01,1.2495e-07,0.001413,0.998587,0.00100559,0.998994
0.01,1.25307e-07,0.000997811,0.999002,0.00454207,0.995458
0.01,1.25664e-07,0.00368644,0.996314,0.0126528,0.987347
0.01,1.26021e-07,0.00882597,0.991174,0.0197039,0.980296
0.01,1.26378e-07,0.0155922,0.984408,0.0282771,0.971723
0.01,1.26735e-07,0.0250164,0.974984,0.0405133,0.959487
0.01,1.27092e-07,0.0412326,0.958767,0.0590834,0.940917
0.01,1.27449e-07,0.0578263,0.942174,0.0709397,0.92906
0.01,1.27806e-07,0.0770251,0.922975,0.0877509,0.912249
0.01,1.28163e-07,0.0935524,0.906448,0.101376,0.898624
0.01,1.2852e-07,0.109271,0.890729,0.118346,0.881654
0.01,1.28877e-07,0.129279,0.870721,0.142897,0.857103
0.01,1.29234e-07,0.152009,0.847991,0.166696,0.833304
0.01,1.29591e-07,0.169578,0.830422,0.18362,0.81638
0.01,1.29948e-07,0.196251,0.803749,0.216877,0.783123
0.01,1.30305e-07,0.229355,0.770645,0.24822,0.75178
0.01,1.30662e-07,0.253548,0.746452,0.26502,0.73498
0.01,1.31019e-07,0.282059,0.717941,0.296768,0.703232
0.01,1.31376e-07,0.314434,0.685566,0.328924,0.671076
0.01,1.31733e-07,0.335204,0.664796,0.346218,0.653782
0.01,1.3209e-07,0.354483,0.645517,0.374388,0.625612
0.01,1.32447e-07,0.382258,0.617742,0.413219,0.586781
0.01,1.32804e-07,0.414886,0.585114,0.448813,0.551187
0.01,1.33161e-07,0.438725,0.561275,0.470853,0.529147
0.01,1.33518e-07,0.469442,0.530558,0.508964,0.491036
0.01,1.33875e-07,0.513968,0.486032,0.553917,0.446083
0.01,1.34232e-07,0.546053,0.453947,0.572611,0.427389
0.01,1.34589e-07,0.585024,0.414976,0.610419,0.389581
0.01,1.34946e-07,0.622269,0.377731,0.639642,0.360358
0.01,1.35303e-07,0.643922,0.356078,0.654751,0.345249
0.01,1.3566e-07,0.683585,0.316415,0.702366,0.297634
0.01,1.36017e-07,0.716118,0.283882,0.724867,0.275133
0.01,1.36374e-07,0.734748,0.265252,0.739622,0.260378
0.01,1.36731e-07,0.759518,0.240482,0.773054,0.226946
0.01,1.37088e-07,0.788788,0.211212,0.804062,0.195938
0.01,1.37445e-07,0.800386,0.199614,0.812453,0.187547
0.01,1.37802e-07,0.83232,0.16768,0.855719,0.144281
0.01,1.38159e-07,0.858761,0.141239,0.873922,0.126078
0.01,1.38516e-07,0.877955,0.122045,0.888898,0.111102
0.01,1.38873e-07,0.894851,0.105149,0.906806,0.0931939
0.01,1.3923e-07,0.917544,0.0824565,0.930688,0.0693125
0.01,1.39587e-07,0.935236,0.0647637,0.943538,0.0564624
0.01,1.39944e-07,0.950362,0.049638,0.956664,0.0433356
0.01,1.40301e-07,0.961883,0.0381168,0.966942,0.0330582
0.01,1.40658e-07,0.971677,0.0283227,0.97707,0.0229301
0.01,1.41015e-07,0.979561,0.020439,0.985153,0.0148474
0.01,1.41372e-07,0.986128,0.0138723,0.991833,0.00816707
0.01,1.41729e-07,0.994602,0.00539789,0.998442,0.00155775
0.01,1.42086e-07,0.997178,0.00282194,0.999165,0.000834905
0.01,1.42443e-07,0.99845,0.00155019,0.999937,6.31254e-05
0.01,1.428e-07,0.996991,0.00300898,0.997763,0.00223654
0.01,1.43157e-07,0.994378,0.00562199,0.995217,0.00478263
0.01,1.43514e-07,0.987886,0.0121144,0.987856,0.0121436
0.01,1.43871e-07,0.981908,0.0180917,0.983438,0.016562
0.01,1.44228e-07,0.972149,0.0278511,0.972052,0.0279477
0.01,1.44585e-07,0.963338,0.0366621,0.964057,0.0359435
0.01,1.44942e-07,0.957001,0.0429988,0.955301,0.0446986
0.01,1.45299e-07,0.940911,0.0590887,0.931328,0.068672
0.01,1.45656e-07,0.921782,0.0782184,0.914135,0.0858645
0.01,1.46013e-07,0.905143,0.0948573,0.900854,0.0991457
0.01,1.4637e-07,0.886238,0.113762,0.880434,0.119566
0.01,1.46727e-07,0.875496,0.124504,0.869219,0.130781
0.01,1.47084e-07,0.849568,0.150432,0.831865,0.168135
0.01,1.47441e-07,0.832293,0.167707,0.818751,0.181249
0.01,1.47798e-07,0.819257,0.180743,0.799136,0.200864
0.01,1.48155e-07,0.789775,0.210225,0.756404,0.243596
0.01,1.48512e-07,0.7634,0.2366,0.73383,0.26617
0.01,1.48869e-07,0.744619,0.255381,0.714655,0.285345
0.01,1.49226e-07,0.71197,0.28803,0.671913,0.328087
0.01,1.49583e-07,0.688358,0.311642,0.652483,0.347517
0.01,1.4994e-07,0.643228,0.356772,0.600937,0.399063
0.01,1.50297e-07,0.610714,0.389286,0.584212,0.415788
0.01,1.50654e-07,0.567226,0.432774,0.54249,0.45751
