p N0 N1 N2 N3 estimation xi_exact ECM exact_ECM fisher fisher_exact
0.4951 109 24 41 26 0.829018 0.785398 0.0215712 0.0228717 0.231791 0.218611
0.5001 106 26 38 30 0.783528 0.785398 0.0234055 0.0233429 0.213625 0.214198
0.5051 105 25 41 29 0.847243 0.785398 0.0219457 0.023828 0.227835 0.209837
0.5101 104 32 39 25 0.807663 0.785398 0.0235767 0.0243275 0.212074 0.205529
0.5151 110 20 35 35 0.656769 0.785398 0.0310213 0.024842 0.16118 0.201272
0.5201 101 34 40 25 0.840546 0.785398 0.0235263 0.0253721 0.212529 0.197067
0.5251 104 20 36 40 0.716296 0.785398 0.0289763 0.0259184 0.172555 0.192913
0.5301 101 29 41 29 0.848821 0.785398 0.0242718 0.0264817 0.206 0.18881
0.5351 103 26 47 24 0.941981 0.785398 0.0222966 0.0270626 0.224249 0.184757
0.5401 108 26 41 25 0.776024 0.785398 0.0280595 0.0276619 0.178193 0.180754
0.5451 106 31 30 33 0.465408 0.785398 0.0600163 0.0282804 0.0833107 0.176801
0.5501 105 16 50 29 0.962132 0.785398 0.0232561 0.0289189 0.214997 0.172897
0.5551 94 33 46 27 0.980331 0.785398 0.0233385 0.0295783 0.214238 0.169043
0.5601 103 32 34 31 0.60186 0.785398 0.0433108 0.0302595 0.115445 0.165237
0.5651 102 33 36 29 0.661646 0.785398 0.0387491 0.0309635 0.129035 0.16148
0.5701 97 29 39 35 0.782367 0.785398 0.031842 0.0316913 0.157025 0.157772
0.5751 90 27 45 38 0.977719 0.785398 0.0255067 0.0324441 0.196027 0.154111
0.5801 100 28 41 31 0.784869 0.785398 0.0332508 0.033223 0.150372 0.150498
0.5851 84 33 46 37 1.04902 0.785398 0.0250042 0.0340292 0.199966 0.146932
0.5901 103 22 40 35 0.711048 0.785398 0.0396941 0.0348641 0.125963 0.143414
0.5951 96 30 41 33 0.800313 0.785398 0.0349004 0.035729 0.143265 0.139942
0.6001 107 26 44 23 0.75209 0.785398 0.0387279 0.0366254 0.129106 0.136517
0.6051 90 38 39 33 0.797857 0.785398 0.0368162 0.0375548 0.13581 0.133139
0.6101 98 38 44 20 0.826021 0.785398 0.0361677 0.038519 0.138245 0.129806
0.6151 106 27 40 27 0.621057 0.785398 0.0549154 0.0395197 0.0910492 0.126519
0.6201 86 30 51 33 1.08832 0.785398 0.028472 0.0405587 0.175611 0.123278
0.6251 103 32 40 25 0.630303 0.785398 0.0567362 0.0416382 0.0881271 0.120082
0.6301 82 31 46 41 1.02301 0.785398 0.0316286 0.0427601 0.158085 0.116931
0.6351 94 34 50 22 0.96251 0.785398 0.0345011 0.0439269 0.144923 0.113825
0.6401 88 41 44 27 0.889554 0.785398 0.0386654 0.045141 0.129315 0.110764
0.6451 91 31 47 31 0.916479 0.785398 0.0383727 0.0464049 0.130301 0.107747
0.6501 90 36 40 34 0.734874 0.785398 0.0522445 0.0477215 0.0957039 0.104775
0.6551 99 33 42 26 0.662959 0.785398 0.0624255 0.0490938 0.0800954 0.101846
0.6601 95 31 41 33 0.671947 0.785398 0.063024 0.050525 0.0793349 0.0989609
0.6651 83 32 35 50 0.625441 0.785398 0.0724459 0.0520186 0.0690171 0.0961195
0.6701 89 32 46 33 0.87368 0.785398 0.0466968 0.0535783 0.107074 0.0933214
0.6751 102 23 40 35 0.472926 0.785398 0.122406 0.055208 0.0408476 0.0905665
0.6801 80 35 48 37 1.02892 0.785398 0.0411837 0.0569122 0.121407 0.0878546
0.6851 83 38 50 29 1.02625 0.785398 0.0425197 0.0586955 0.117593 0.0851855
0.6901 77 27 54 42 1.19065 0.785398 0.038324 0.0605628 0.130467 0.0825589
0.6951 78 34 53 35 1.15012 0.785398 0.0405812 0.0625197 0.12321 0.0799749
0.7001 93 28 46 33 0.748366 0.785398 0.0691171 0.0645719 0.0723409 0.077433
0.7051 76 46 48 30 1.05209 0.785398 0.0468378 0.066726 0.106751 0.0749333
0.7101 98 23 46 33 0.637854 0.785398 0.0941012 0.0689888 0.0531343 0.0724755
0.7151 87 35 42 36 0.665467 0.785398 0.0911807 0.0713679 0.0548362 0.0700595
0.7201 76 39 44 41 0.915122 0.785398 0.0603845 0.0738715 0.0828027 0.0676851
0.7251 87 34 38 41 0.42995 0.785398 0.205448 0.0765085 0.0243371 0.0653522
0.7351 81 43 44 32 0.785971 0.785398 0.0821377 0.0822228 0.0608734 0.0608104
0.7401 87 35 48 30 0.795099 0.785398 0.0838496 0.0853225 0.0596305 0.0586012
0.7451 84 27 42 47 0.60848 0.785398 0.131353 0.0886006 0.0380653 0.056433
0.7501 92 25 51 32 0.771289 0.785398 0.0945123 0.0920714 0.0529032 0.0543057
0.7551 81 37 47 35 0.829661 0.785398 0.0886252 0.0957504 0.0564174 0.0522191
0.7701 87 34 42 37 0.367885 0.785398 0.395038 0.108218 0.012657 0.046203
0.7751 72 38 52 38 1.11606 0.785398 0.0730631 0.112921 0.068434 0.0442786
0.7801 68 42 57 33 1.32421 0.785398 0.0665451 0.11794 0.0751371 0.0423944
0.7851 74 44 44 38 0.768947 0.785398 0.127217 0.123303 0.0393029 0.0405506
0.7951 60 39 56 45 1.46924 0.785398 0.0724065 0.135196 0.0690545 0.0369834
0.8001 68 47 54 31 1.21919 0.785398 0.0840499 0.141804 0.0594885 0.03526
