Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
3.64139e-08 0.72076 0.27924 0.992713 0.00728664 0.0386413 0.359519
3.67709e-08 0.703492 0.296508 0.988318 0.0116817 0.023461 -0.0628734
3.71279e-08 0.70243 0.29757 0.985965 0.0140354 -0.0178218 -0.0206873
3.74849e-08 0.679665 0.320335 0.970614 0.0293863 0.0264045 0.16123
3.78419e-08 0.653397 0.346603 0.956133 0.0438674 0.0410686 0.067458
3.81989e-08 0.683701 0.316299 0.966606 0.0333938 -0.0762136 0.165157
3.85559e-08 0.662459 0.337541 0.926531 0.0734694 0.0423831 0.152608
3.89129e-08 0.704542 0.295458 0.942541 0.0574588 -0.0853108 0.0984261
3.92699e-08 0.70211 0.29789 0.898969 0.101031 0.0151185 -0.00744819
3.96269e-08 0.69249 0.30751 0.875017 0.124983 0.0285266 -0.0206366
3.99839e-08 0.700013 0.299987 0.867864 0.132136 -0.011762 -0.100542
4.03409e-08 0.709337 0.290663 0.850441 0.149559 -0.0238366 -0.0629706
4.06979e-08 0.703478 0.296522 0.816788 0.183212 0.0037925 0.0757635
4.10549e-08 0.649075 0.350925 0.747326 0.252674 0.110268 -0.0607612
4.14119e-08 0.592921 0.407079 0.722303 0.277697 0.1045 -0.036972
4.17689e-08 0.59488 0.40512 0.749692 0.250308 -0.0185146 -0.187339
4.21259e-08 0.618001 0.381999 0.747609 0.252391 -0.0735979 0.372696
4.24829e-08 0.603724 0.396276 0.674809 0.325191 0.0248027 0.170863
4.28399e-08 0.610813 0.389187 0.661234 0.338766 -0.00916907 0.0431263
4.31969e-08 0.660441 0.339559 0.672561 0.327439 -0.0960101 0.046891
4.35539e-08 0.65161 0.34839 0.582792 0.417208 0.0275609 0.182229
4.39109e-08 0.688452 0.311548 0.595098 0.404902 -0.059517 -0.0831826
4.42679e-08 0.682862 0.317138 0.522389 0.477611 0.0244683 -0.0161304
4.46249e-08 0.605337 0.394663 0.417591 0.582409 0.17202 0.0584044
4.49819e-08 0.608925 0.391075 0.469371 0.530629 0.00494739 0.0424805
4.53389e-08 0.589461 0.410539 0.415173 0.584827 0.0537671 0.350805
4.56959e-08 0.650845 0.349155 0.456828 0.543172 -0.0929947 0.0168889
4.60529e-08 0.674221 0.325779 0.387769 0.612231 -0.0157239 0.000249461
4.64099e-08 0.698711 0.301289 0.361321 0.638679 -0.0200976 -0.276616
4.67669e-08 0.725935 0.274065 0.343149 0.656851 -0.0448036 0.03012
4.71239e-08 0.754252 0.245748 0.316362 0.683638 -0.0491826 -0.136369
4.74809e-08 0.760726 0.239274 0.270085 0.729915 -0.0102732 0.0756964
4.78379e-08 0.772673 0.227327 0.24732 0.75268 -0.0210548 0.047894
4.81949e-08 0.786983 0.213017 0.224506 0.775494 -0.0268315 -0.236279
4.85519e-08 0.779567 0.220433 0.185797 0.814203 0.008275 -0.149859
4.89089e-08 0.774024 0.225976 0.168263 0.831737 -0.00801531 -0.0248515
4.92659e-08 0.702093 0.297907 0.0977389 0.902261 0.138949 0.0115772
4.96229e-08 0.708142 0.291858 0.135175 0.864825 -0.039348 -0.0949766
4.99799e-08 0.703006 0.296994 0.108892 0.891108 -0.0214105 0.0362373
5.03369e-08 0.742598 0.257402 0.120623 0.879377 -0.120485 0.0160666
5.06939e-08 0.738113 0.261887 0.0733368 0.926663 -0.0222825 0.105416
