Time abs_alpha2 abs_beta2
1.02102e-07 0.812661 0.183239
1.02459e-07 0.836249 0.159637
1.02816e-07 0.858503 0.137369
1.03173e-07 0.879334 0.116524
1.0353e-07 0.89866 0.0971829
1.03887e-07 0.916406 0.079423
1.04244e-07 0.9325 0.0633139
1.04601e-07 0.946881 0.0489191
1.04958e-07 0.95949 0.0362952
1.05315e-07 0.970279 0.0254919
1.05672e-07 0.979205 0.0165518
1.06029e-07 0.986233 0.00951004
1.06386e-07 0.991334 0.00439427
1.06743e-07 0.99449 0.00122459
1.071e-07 0.995686 1.34322e-05
1.07457e-07 0.99492 0.000765481
1.07814e-07 0.992194 0.00347769
1.08171e-07 0.987518 0.00813927
1.08528e-07 0.980911 0.0147318
1.08885e-07 0.972399 0.0232291
1.09242e-07 0.962016 0.0335977
1.09599e-07 0.949803 0.0457965
1.09956e-07 0.935808 0.0597774
1.10313e-07 0.920086 0.0754852
1.1067e-07 0.902699 0.0928579
1.11027e-07 0.883716 0.111827
1.11384e-07 0.863211 0.132317
1.11741e-07 0.841266 0.154248
1.12098e-07 0.817967 0.177533
1.12455e-07 0.793406 0.20208
1.12812e-07 0.767679 0.227792
1.13169e-07 0.740889 0.254567
1.13526e-07 0.713141 0.282301
1.13883e-07 0.684544 0.310884
1.1424e-07 0.655211 0.340203
1.14597e-07 0.625258 0.370141
1.14954e-07 0.594803 0.400582
1.15311e-07 0.563965 0.431406
1.15668e-07 0.532868 0.462489
1.16025e-07 0.501632 0.49371
1.16382e-07 0.470381 0.524947
1.16739e-07 0.439239 0.556074
1.17096e-07 0.408329 0.586971
1.17453e-07 0.377771 0.617514
1.1781e-07 0.347687 0.647584
1.18167e-07 0.318195 0.677061
1.18524e-07 0.289412 0.70583
1.18881e-07 0.261451 0.733777
1.19238e-07 0.234421 0.760793
1.19595e-07 0.20843 0.786769
1.19952e-07 0.183581 0.811604
1.20309e-07 0.15997 0.835201
1.20666e-07 0.137691 0.857465
1.21023e-07 0.116832 0.87831
1.2138e-07 0.0974755 0.897652
1.21737e-07 0.0796969 0.915417
1.22094e-07 0.0635666 0.931533
1.22451e-07 0.0491482 0.945937
1.22808e-07 0.0364983 0.958572
1.23165e-07 0.0256669 0.969389
1.23522e-07 0.0166966 0.978346
1.23879e-07 0.0096226 0.985405
1.24236e-07 0.00447276 0.990541
1.24593e-07 0.00126731 0.993732
1.2495e-07 1.87994e-05 0.994966
1.25307e-07 0.000732071 0.994239
1.25664e-07 0.00340423 0.991552
1.26021e-07 0.00802464 0.986917
1.26378e-07 0.014575 0.980353
1.26735e-07 0.0230294 0.971884
1.27092e-07 0.0333545 0.961545
1.27449e-07 0.0455093 0.949376
1.27806e-07 0.059446 0.935425
1.28163e-07 0.0751094 0.919747
1.2852e-07 0.0924378 0.902404
1.28877e-07 0.111363 0.883465
1.29234e-07 0.131809 0.863004
1.29591e-07 0.153697 0.841102
1.29948e-07 0.17694 0.817845
1.30305e-07 0.201445 0.793325
1.30662e-07 0.227117 0.767639
1.31019e-07 0.253854 0.740888
1.31376e-07 0.281551 0.713177
1.31733e-07 0.310097 0.684616
1.3209e-07 0.339381 0.655318
1.32447e-07 0.369288 0.625397
1.32804e-07 0.399698 0.594972
1.33161e-07 0.430493 0.564163
1.33518e-07 0.46155 0.533092
1.33875e-07 0.492748 0.50188
1.34232e-07 0.523962 0.470651
1.34589e-07 0.555071 0.439528
1.34946e-07 0.585951 0.408634
1.35303e-07 0.61648 0.37809
1.3566e-07 0.646539 0.348018
1.36017e-07 0.676008 0.318534
1.36374e-07 0.704771 0.289757
1.36731e-07 0.732715 0.261798
1.37088e-07 0.75973 0.234769
1.37445e-07 0.785709 0.208776
1.37802e-07 0.81055 0.183921
1.38159e-07 0.834154 0.160302
1.38516e-07 0.856429 0.138012
1.38873e-07 0.877288 0.11714
1.3923e-07 0.896646 0.0977671
1.39587e-07 0.914429 0.0799699
1.39944e-07 0.930566 0.0638185
1.40301e-07 0.944994 0.0493765
1.40658e-07 0.957655 0.0367008
1.41015e-07 0.968501 0.0258413
1.41372e-07 0.977487 0.0168408
1.41729e-07 0.984579 0.00973465
1.42086e-07 0.989748 0.00455082
1.42443e-07 0.992975 0.00130965
1.428e-07 0.994247 2.38451e-05
1.43157e-07 0.993558 0.000698393
1.43514e-07 0.990911 0.00333055
1.43871e-07 0.986318 0.00790985
1.44228e-07 0.979795 0.0144181
1.44585e-07 0.971369 0.0228297
1.44942e-07 0.961074 0.0331112
1.45299e-07 0.948948 0.0452222
1.45656e-07 0.935042 0.0591146
1.46013e-07 0.919408 0.0747337
1.4637e-07 0.90211 0.0920179
1.46727e-07 0.883215 0.110899
1.47084e-07 0.862797 0.131302
1.47441e-07 0.840938 0.153147
1.47798e-07 0.817724 0.176347
1.48155e-07 0.793245 0.200811
1.48512e-07 0.767599 0.226443
1.48869e-07 0.740887 0.253141
1.49226e-07 0.713214 0.2808
1.49583e-07 0.684689 0.30931
1.4994e-07 0.655425 0.33856
1.50297e-07 0.625536 0.368434
1.50654e-07 0.595142 0.398814
1.51011e-07 0.564362 0.42958
1.51368e-07 0.533316 0.460611
1.51725e-07 0.502129 0.491785
1.52082e-07 0.470921 0.522978
1.52439e-07 0.439818 0.554067
1.52796e-07 0.40894 0.584931
1.53153e-07 0.37841 0.615446
1.5351e-07 0.348349 0.645493
1.53867e-07 0.318874 0.674954
1.54224e-07 0.290102 0.703711
1.54581e-07 0.262147 0.731652
1.54938e-07 0.235118 0.758667
1.55295e-07 0.209122 0.784649
1.55652e-07 0.184262 0.809495
1.56009e-07 0.160635 0.833107
1.56366e-07 0.138335 0.855393
1.56723e-07 0.117449 0.876265
1.5708e-07 0.09806 0.895639
1.57437e-07 0.0802442 0.913441
1.57794e-07 0.0640716 0.929599
1.58151e-07 0.0496062 0.94405
1.58508e-07 0.0369047 0.956738
1.58865e-07 0.0260172 0.967611
1.59222e-07 0.0169866 0.976627
1.59579e-07 0.00984833 0.983751
1.59936e-07 0.00463055 0.988955
1.60293e-07 0.00135373 0.992217
1.6065e-07 3.06864e-05 0.993526
1.61007e-07 0.000666565 0.992876
1.61364e-07 0.00325877 0.990269
1.61721e-07 0.007797 0.985717
1.62078e-07 0.0142633 0.979236
1.62435e-07 0.022632 0.970853
1.62792e-07 0.0328701 0.960601
1.63149e-07 0.0449371 0.94852
1.63506e-07 0.0587854 0.934657
1.63863e-07 0.0743602 0.919068
1.6422e-07 0.0916001 0.901814
1.64577e-07 0.110437 0.882963
1.64934e-07 0.130797 0.862589
1.65291e-07 0.152598 0.840773
1.65648e-07 0.175757 0.8176
1.66005e-07 0.20018 0.793163
1.66362e-07 0.225771 0.767557
1.66719e-07 0.25243 0.740884
1.67076e-07 0.280051 0.713248
1.67433e-07 0.308526 0.68476
1.6779e-07 0.337742 0.65553
1.68147e-07 0.367583 0.625674
1.68504e-07 0.397932 0.59531
1.68861e-07 0.42867 0.564558
