Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
2.81839e-05 0.156492 0.843508 0.656456 0.343544 -0.0310461 0.0332341
2.84188e-05 0.136082 0.863918 0.600914 0.399086 0.0211809 -0.0719378
2.86536e-05 0.103956 0.896044 0.546463 0.453537 0.0692264 -0.199699
2.88885e-05 0.0762886 0.923711 0.508415 0.491585 0.0828997 0.0418265
2.91234e-05 0.0618594 0.938141 0.496472 0.503528 0.0459665 0.203533
2.93582e-05 0.0734587 0.926541 0.52033 0.47967 -0.0632103 -0.259558
2.95931e-05 0.0925984 0.907402 0.489156 0.510844 -0.0636231 -0.089982
2.9828e-05 0.0727431 0.927257 0.382677 0.617323 0.0893398 0.088615
3.00628e-05 0.0827698 0.91723 0.40561 0.59439 -0.0202288 0.0238985
3.02977e-05 0.107174 0.892826 0.397184 0.602816 -0.062073 0.293806
3.05326e-05 0.102192 0.897808 0.326309 0.673691 0.024747 0.1913
3.07674e-05 0.0817024 0.918298 0.27564 0.72436 0.0725367 -0.0228085
3.10023e-05 0.108361 0.891639 0.318085 0.681915 -0.0826351 0.0732779
3.12372e-05 0.0909677 0.909032 0.223849 0.776151 0.067379 -0.0165691
3.1472e-05 0.0960486 0.903951 0.226657 0.773343 -0.00215039 -0.0537555
3.17069e-05 0.115053 0.884947 0.215688 0.784312 -0.0385192 -0.0478598
3.19418e-05 0.128835 0.871165 0.181206 0.818794 -0.0119832 -0.364226
3.21766e-05 0.145836 0.854164 0.153783 0.846217 0.00045293 -0.286441
3.24115e-05 0.150485 0.849515 0.11755 0.88245 0.0461815 0.23155
3.26464e-05 0.140009 0.859991 0.0881405 0.91186 0.08348 0.237902
3.28812e-05 0.174361 0.825639 0.108771 0.891229 -0.0483659 0.00557465
3.31161e-05 0.189123 0.810877 0.0755199 0.92448 0.00920496 0.286325
3.3351e-05 0.252594 0.747406 0.0937597 0.90624 -0.117504 0.0921638
3.35858e-05 0.251856 0.748144 0.0412291 0.958771 0.034512 0.0432222
3.38207e-05 0.268473 0.731527 0.0369521 0.963048 -0.00580405 -0.0727142
3.40556e-05 0.327269 0.672731 0.0415022 0.958498 -0.0913923 -0.333501
3.42904e-05 0.366271 0.633729 0.020274 0.979726 -0.0295378 -0.127402
3.45253e-05 0.36415 0.63585 0.00443838 0.995562 0.0610622 -0.0399356
3.47602e-05 0.400499 0.599501 0.00587175 0.994128 -0.0169668 0.0774459
3.4995e-05 0.495007 0.504993 0.0113675 0.988633 -0.134409 -0.0137883
3.52299e-05 0.535862 0.464138 0.00112971 0.99887 -0.0253788 0.166747
3.54648e-05 0.516735 0.483265 0.00216016 0.99784 0.0892544 0.0396205
3.56996e-05 0.531871 0.468129 0.0114853 0.988515 0.0190285 0.266071
3.59345e-05 0.528866 0.471134 0.0159065 0.984093 0.0432355 -0.38945
3.61694e-05 0.526545 0.473455 0.0218349 0.978165 0.05817 0.122894
3.64042e-05 0.547496 0.452504 0.0412166 0.958783 0.0069531 0.0522715
3.66391e-05 0.509966 0.490034 0.0310401 0.96896 0.121882 0.146047
