Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,2.7949e-05,0.579255,0.420745,0.673207,0.326793
0.01,2.81839e-05,0.545198,0.454802,0.646674,0.353326
0.01,2.84188e-05,0.507307,0.492693,0.612845,0.387155
0.01,2.86536e-05,0.473868,0.526132,0.586495,0.413505
0.01,2.88885e-05,0.438784,0.561216,0.553684,0.446316
0.01,2.91234e-05,0.410231,0.589769,0.528847,0.471153
0.01,2.93582e-05,0.36869,0.63131,0.483648,0.516352
0.01,2.95931e-05,0.33398,0.66602,0.458565,0.541435
0.01,2.9828e-05,0.306125,0.693875,0.433722,0.566278
0.01,3.00628e-05,0.2779,0.7221,0.40159,0.59841
0.01,3.02977e-05,0.252039,0.747961,0.37278,0.62722
0.01,3.05326e-05,0.220125,0.779875,0.33476,0.66524
0.01,3.07674e-05,0.184639,0.815361,0.299426,0.700574
0.01,3.10023e-05,0.159961,0.840039,0.281429,0.718571
0.01,3.12372e-05,0.136178,0.863822,0.252864,0.747136
0.01,3.1472e-05,0.118037,0.881963,0.23145,0.76855
0.01,3.17069e-05,0.0973886,0.902611,0.200607,0.799393
0.01,3.19418e-05,0.0840746,0.915925,0.183936,0.816064
0.01,3.21766e-05,0.0655045,0.934496,0.151427,0.848573
0.01,3.24115e-05,0.0479166,0.952083,0.127746,0.872254
0.01,3.26464e-05,0.033937,0.966063,0.109248,0.890752
0.01,3.28812e-05,0.0229796,0.97702,0.0917942,0.908206
0.01,3.31161e-05,0.0138646,0.986135,0.0738975,0.926103
0.01,3.3351e-05,0.00477628,0.995224,0.0515914,0.948409
0.01,3.35858e-05,0.00108958,0.99891,0.0435521,0.956448
0.01,3.38207e-05,0.000137733,0.999862,0.0355974,0.964403
0.01,3.40556e-05,0.000209475,0.999791,0.0182937,0.981706
0.01,3.42904e-05,0.00302574,0.996974,0.017071,0.982929
0.01,3.45253e-05,0.00810102,0.991899,0.00878966,0.99121
0.01,3.47602e-05,0.0145061,0.985494,0.00335921,0.996641
0.01,3.4995e-05,0.0202294,0.979771,0.000329141,0.999671
0.01,3.52299e-05,0.0343278,0.965672,9.87382e-05,0.999901
0.01,3.54648e-05,0.0453471,0.954653,0.00127297,0.998727
0.01,3.56996e-05,0.0624382,0.937562,0.00586094,0.994139
0.01,3.59345e-05,0.0711898,0.92881,0.00765552,0.992344
0.01,3.61694e-05,0.0873897,0.91261,0.0171843,0.982816
0.01,3.64042e-05,0.110131,0.889869,0.0289659,0.971034
0.01,3.66391e-05,0.131302,0.868698,0.0382188,0.961781
0.01,3.6874e-05,0.159806,0.840194,0.0546797,0.94532
0.01,3.71088e-05,0.19151,0.80849,0.0704713,0.929529
0.01,3.73437e-05,0.214951,0.785049,0.0803769,0.919623
0.01,3.75786e-05,0.251581,0.748419,0.106882,0.893118
0.01,3.78134e-05,0.269427,0.730573,0.112123,0.887877
0.01,3.80483e-05,0.300824,0.699176,0.142731,0.857269
0.01,3.82832e-05,0.330375,0.669625,0.163559,0.836441
0.01,3.8518e-05,0.364138,0.635862,0.190234,0.809766
0.01,3.87529e-05,0.397154,0.602846,0.214631,0.785369
0.01,3.89877e-05,0.430021,0.569979,0.240416,0.759584
0.01,3.92226e-05,0.448929,0.551071,0.255307,0.744693
0.01,3.94575e-05,0.481881,0.518119,0.295576,0.704424
0.01,3.96923e-05,0.513861,0.486139,0.323374,0.676626
0.01,3.99272e-05,0.541109,0.458891,0.348544,0.651456
0.01,4.01621e-05,0.581826,0.418174,0.392373,0.607627
0.01,4.03969e-05,0.606073,0.393927,0.407076,0.592924
0.01,4.06318e-05,0.621478,0.378522,0.429345,0.570655
0.01,4.08667e-05,0.659297,0.340703,0.483571,0.516429
0.01,4.11015e-05,0.676003,0.323997,0.492755,0.507245
0.01,4.13364e-05,0.713561,0.286439,0.547004,0.452996
0.01,4.15713e-05,0.744557,0.255443,0.572135,0.427865
0.01,4.18061e-05,0.778176,0.221824,0.607493,0.392507
0.01,4.2041e-05,0.805847,0.194153,0.632711,0.367289
0.01,4.22759e-05,0.820034,0.179966,0.647675,0.352325
0.01,4.25107e-05,0.844733,0.155267,0.691244,0.308756
0.01,4.27456e-05,0.860307,0.139693,0.709606,0.290394
0.01,4.29805e-05,0.87835,0.12165,0.741789,0.258211
0.01,4.32153e-05,0.897605,0.102395,0.772193,0.227807
0.01,4.34502e-05,0.914728,0.0852719,0.797016,0.202984
0.01,4.36851e-05,0.923851,0.0761492,0.812026,0.187974
0.01,4.39199e-05,0.938896,0.0611042,0.845462,0.154538
0.01,4.41548e-05,0.954703,0.0452967,0.871344,0.128656
0.01,4.43897e-05,0.962883,0.0371172,0.882617,0.117383
0.01,4.46245e-05,0.972876,0.027124,0.906826,0.0931736
0.01,4.48594e-05,0.984766,0.0152338,0.931546,0.0684535
0.01,4.50943e-05,0.989899,0.010101,0.938549,0.0614511
0.01,4.53291e-05,0.994392,0.00560759,0.955151,0.0448494
0.01,4.5564e-05,0.995824,0.00417552,0.964247,0.0357531
0.01,4.57989e-05,0.998694,0.00130644,0.983884,0.0161158
0.01,4.60337e-05,0.996809,0.00319108,0.984144,0.015856
0.01,4.62686e-05,0.994939,0.00506093,0.993721,0.00627949
0.01,4.65035e-05,0.992544,0.00745552,0.997802,0.00219827
0.01,4.67383e-05,0.985267,0.0147331,0.998742,0.00125809
0.01,4.69732e-05,0.977524,0.0224759,0.999791,0.000208766
0.01,4.72081e-05,0.965936,0.0340636,0.998118,0.00188201
0.01,4.74429e-05,0.949156,0.0508444,0.993687,0.00631294
0.01,4.76778e-05,0.932246,0.0677539,0.989118,0.0108815
0.01,4.79127e-05,0.912383,0.0876173,0.981454,0.0185459
0.01,4.81475e-05,0.890476,0.109524,0.972408,0.0275919
0.01,4.83824e-05,0.863638,0.136362,0.959813,0.0401868
0.01,4.86173e-05,0.835786,0.164214,0.94761,0.0523904
0.01,4.88521e-05,0.814246,0.185754,0.938004,0.0619964
0.01,4.9087e-05,0.792994,0.207006,0.922816,0.0771836
0.01,4.93218e-05,0.769359,0.230641,0.904171,0.0958288
0.01,4.95567e-05,0.736055,0.263945,0.878535,0.121465
0.01,4.97916e-05,0.702068,0.297932,0.857878,0.142122
0.01,5.00264e-05,0.667768,0.332232,0.835912,0.164088
0.01,5.02613e-05,0.640529,0.359471,0.818472,0.181528
0.01,5.04962e-05,0.609087,0.390913,0.790379,0.209621
0.01,5.0731e-05,0.564622,0.435378,0.753364,0.246636
0.01,5.09659e-05,0.520036,0.479964,0.725996,0.274004
0.01,5.12008e-05,0.480554,0.519446,0.702321,0.297679
0.01,5.14356e-05,0.434621,0.565379,0.666667,0.333333
0.01,5.16705e-05,0.401056,0.598944,0.648789,0.351211
0.01,5.19054e-05,0.363672,0.636328,0.614176,0.385824
0.01,5.21402e-05,0.326139,0.673861,0.582721,0.417279
0.01,5.23751e-05,0.299052,0.700948,0.561719,0.438281
0.01,5.261e-05,0.277952,0.722048,0.5367,0.4633
0.01,5.28448e-05,0.250275,0.749725,0.497149,0.502851
0.01,5.30797e-05,0.230324,0.769676,0.473816,0.526184
0.01,5.33146e-05,0.207967,0.792033,0.438866,0.561134
0.01,5.35494e-05,0.188476,0.811524,0.410103,0.589897
0.01,5.37843e-05,0.170507,0.829493,0.380392,0.619608
0.01,5.40192e-05,0.153756,0.846244,0.350826,0.649174
0.01,5.4254e-05,0.132538,0.867462,0.314345,0.685655
0.01,5.44889e-05,0.117702,0.882298,0.292843,0.707157
0.01,5.47238e-05,0.10431,0.89569,0.265503,0.734497
0.01,5.49586e-05,0.0886964,0.911304,0.233613,0.766387
0.01,5.51935e-05,0.074115,0.925885,0.207372,0.792628
0.01,5.54284e-05,0.0603855,0.939614,0.181929,0.818071
0.01,5.56632e-05,0.0480607,0.951939,0.158178,0.841822
0.01,5.58981e-05,0.0370729,0.962927,0.135682,0.864318
0.01,5.6133e-05,0.0309003,0.9691,0.121472,0.878528
0.01,5.63678e-05,0.0163811,0.983619,0.0831383,0.916862
0.01,5.66027e-05,0.00812823,0.991872,0.070704,0.929296
0.01,5.68376e-05,0.00567663,0.994323,0.0635213,0.936479
0.01,5.70724e-05,0.00316559,0.996834,0.0430758,0.956924
0.01,5.73073e-05,0.00681745,0.993183,0.0428371,0.957163
0.01,5.75422e-05,0.00854446,0.991456,0.0218957,0.978104
0.01,5.7777e-05,0.0139865,0.986013,0.0160966,0.983903
0.01,5.80119e-05,0.0189664,0.981034,0.00754211,0.992458
0.01,5.82468e-05,0.031113,0.968887,0.00546249,0.994538
0.01,5.84816e-05,0.0369957,0.963004,0.000550135,0.99945
0.01,5.87165e-05,0.041928,0.958072,0.000453904,0.999546
0.01,5.89514e-05,0.064351,0.935649,0.00717725,0.992823
0.01,5.91862e-05,0.0817076,0.918292,0.00939188,0.990608
0.01,5.94211e-05,0.101326,0.898674,0.0162814,0.983719
0.01,5.9656e-05,0.117727,0.882273,0.0226388,0.977361
0.01,5.98908e-05,0.1445,0.8555,0.0378049,0.962195
0.01,6.01257e-05,0.181356,0.818644,0.0551222,0.944878
0.01,6.03605e-05,0.208532,0.791468,0.062553,0.937447
0.01,6.05954e-05,0.22125,0.77875,0.0686837,0.931316
0.01,6.08303e-05,0.243474,0.756526,0.0914874,0.908513
0.01,6.10651e-05,0.26946,0.73054,0.112208,0.887792
0.01,6.13e-05,0.290418,0.709582,0.127976,0.872024
0.01,6.15349e-05,0.304887,0.695113,0.144033,0.855967
0.01,6.17697e-05,0.326083,0.673917,0.171978,0.828022
0.01,6.20046e-05,0.354775,0.645225,0.202263,0.797737
0.01,6.22395e-05,0.385203,0.614797,0.229005,0.770995
0.01,6.24743e-05,0.408933,0.591067,0.249374,0.750626
0.01,6.27092e-05,0.445711,0.554289,0.288674,0.711326
0.01,6.29441e-05,0.46927,0.53073,0.304868,0.695132
0.01,6.31789e-05,0.490088,0.509912,0.33165,0.66835
0.01,6.34138e-05,0.525158,0.474842,0.375044,0.624956
0.01,6.36487e-05,0.550252,0.449748,0.395589,0.604411
0.01,6.38835e-05,0.581163,0.418837,0.432218,0.567782
0.01,6.41184e-05,0.612118,0.387882,0.463787,0.536213
0.01,6.43533e-05,0.635358,0.364642,0.487367,0.512633
0.01,6.45881e-05,0.654471,0.345529,0.514577,0.485423
0.01,6.4823e-05,0.706038,0.293962,0.580945,0.419055
0.01,6.50579e-05,0.728153,0.271847,0.581464,0.418536
0.01,6.52927e-05,0.761443,0.238557,0.625473,0.374527
0.01,6.55276e-05,0.787107,0.212893,0.648399,0.351601
0.01,6.57625e-05,0.817094,0.182906,0.684504,0.315496
0.01,6.59973e-05,0.840599,0.159401,0.707544,0.292456
0.01,6.62322e-05,0.853054,0.146946,0.723267,0.276733
0.01,6.64671e-05,0.868846,0.131154,0.755642,0.244358
0.01,6.67019e-05,0.885532,0.114468,0.784378,0.215622
0.01,6.69368e-05,0.905913,0.0940866,0.816161,0.183839
0.01,6.71717e-05,0.925599,0.0744009,0.841469,0.158531
0.01,6.74065e-05,0.939357,0.0606427,0.85825,0.14175
0.01,6.76414e-05,0.950693,0.0493068,0.877959,0.122041
0.01,6.78763e-05,0.968043,0.0319571,0.909063,0.0909367
0.01,6.81111e-05,0.978243,0.0217569,0.919753,0.0802466
0.01,6.8346e-05,0.984987,0.0150129,0.933157,0.0668431
0.01,6.85809e-05,0.989624,0.0103757,0.94676,0.0532397
0.01,6.88157e-05,0.991826,0.00817379,0.958049,0.0419514
0.01,6.90506e-05,0.991329,0.00867069,0.967739,0.0322614
0.01,6.92855e-05,0.992578,0.00742173,0.983502,0.0164977
0.01,6.95203e-05,0.992781,0.00721931,0.991158,0.00884164
0.01,6.97552e-05,0.993073,0.00692685,0.996969,0.00303147
0.01,6.99901e-05,0.989463,0.0105369,0.99813,0.0018705
0.01,7.02249e-05,0.983832,0.0161682,0.999105,0.000895186
0.01,7.04598e-05,0.973821,0.0261785,0.997685,0.00231505
0.01,7.06947e-05,0.96925,0.0307497,0.997386,0.00261367
0.01,7.09295e-05,0.961635,0.0383651,0.992401,0.00759868
0.01,7.11644e-05,0.948826,0.0511737,0.983814,0.0161859
0.01,7.13992e-05,0.925244,0.0747557,0.969407,0.0305928
