Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
4.17689e-08 0.442808 0.557192 0.769548 0.230452 0.0168571 -0.0579807
4.21259e-08 0.344188 0.655812 0.682351 0.317649 0.150883 -0.0936204
4.24829e-08 0.276575 0.723425 0.680871 0.319129 0.0920618 -0.0875291
4.28399e-08 0.204204 0.795796 0.642305 0.357695 0.113308 0.0403904
4.31969e-08 0.158384 0.841616 0.636093 0.363907 0.0644055 -0.0625586
4.35539e-08 0.152926 0.847074 0.660907 0.339093 -0.0407707 0.32892
4.39109e-08 0.147381 0.852619 0.624101 0.375899 -0.0262746 -0.0981551
4.42679e-08 0.136734 0.863266 0.587243 0.412757 -0.0136498 -0.241689
4.46249e-08 0.126283 0.873717 0.559907 0.440093 -0.021178 -0.245876
4.49819e-08 0.129621 0.870379 0.552423 0.447577 -0.0683232 -0.083452
4.53389e-08 0.109132 0.890868 0.486846 0.513154 0.00366688 0.110927
4.56959e-08 0.0702878 0.929712 0.418201 0.581799 0.0805048 0.00495395
4.60529e-08 0.0480168 0.951983 0.407964 0.592036 0.0401243 0.00385161
4.64099e-08 0.0396301 0.96037 0.403869 0.596131 -0.0113653 0.0816216
4.67669e-08 0.0164078 0.983592 0.324138 0.675862 0.0983924 0.229068
4.71239e-08 0.0194093 0.980591 0.366001 0.633999 -0.0478596 0.145407
4.74809e-08 0.0309641 0.969036 0.351393 0.648607 -0.0766726 0.0894035
4.78379e-08 0.0264909 0.973509 0.268372 0.731628 0.0418796 -0.0368973
4.81949e-08 0.0364348 0.963565 0.276429 0.723571 -0.0344124 0.12306
4.85519e-08 0.0712809 0.928719 0.288066 0.711934 -0.119102 0.0847956
4.89089e-08 0.0705865 0.929414 0.191241 0.808759 0.0483546 -0.0068707
4.92659e-08 0.0910653 0.908935 0.196403 0.803597 -0.0271491 -0.184415
4.96229e-08 0.0887415 0.911258 0.147202 0.852798 0.0510138 0.267541
4.99799e-08 0.135786 0.864214 0.177829 0.822171 -0.0946793 -0.245753
5.03369e-08 0.108473 0.891527 0.0824618 0.917538 0.131385 -0.18235
5.06939e-08 0.0975119 0.902488 0.081137 0.918863 0.0780818 0.0255479
5.10509e-08 0.134508 0.865492 0.107399 0.892601 -0.0701953 -0.00817812
5.14079e-08 0.127764 0.872236 0.0567215 0.943279 0.0673684 0.226419
5.17649e-08 0.144401 0.855599 0.0572185 0.942782 0.00790055 -0.0800722
5.21219e-08 0.126695 0.873305 0.0267353 0.973265 0.106712 -0.084596
5.24789e-08 0.135149 0.864851 0.0325843 0.967416 0.0282344 0.139266
5.28359e-08 0.144353 0.855647 0.0247271 0.975273 0.0315725 0.0221632
5.31929e-08 0.210965 0.789035 0.0435679 0.956432 -0.11586 -0.0658092
5.35499e-08 0.231616 0.768384 0.0178069 0.982193 0.00827336 0.0621984
5.39069e-08 0.269956 0.730044 0.0196064 0.980394 -0.0288223 -0.0452341
5.42639e-08 0.286594 0.713406 0.0133551 0.986645 0.0218511 0.132321
5.46209e-08 0.298608 0.701392 0.0117379 0.988262 0.0350079 -0.187026
5.49779e-08 0.294021 0.705979 0.00916645 0.990834 0.0681381 -0.349633
5.53349e-08 0.283623 0.716377 0.0137926 0.986207 0.0699271 0.0651072
5.56919e-08 0.359777 0.640223 0.0532599 0.94674 -0.113034 -0.029706
5.60489e-08 0.386208 0.613792 0.0406981 0.959302 -0.00502685 -0.0954451
5.64059e-08 0.467707 0.532293 0.082009 0.917991 -0.118817 0.279625
5.67629e-08 0.459893 0.540107 0.0486769 0.951323 0.0719166 -0.0279548
5.71199e-08 0.499145 0.500855 0.0877536 0.912246 -0.0231098 0.239309
5.74769e-08 0.598226 0.401774 0.142712 0.857288 -0.138572 0.0158683
5.78339e-08 0.592192 0.407808 0.0924146 0.907585 0.0733729 -0.125305
5.81909e-08 0.609573 0.390427 0.125936 0.874064 0.0231983 -0.0663311
5.85479e-08 0.630772 0.369228 0.150176 0.849824 0.0132497 0.0408333
5.89049e-08 0.651387 0.348613 0.17158 0.82842 0.014808 -0.00667399
5.92619e-08 0.70334 0.29666 0.218923 0.781077 -0.0537982 -0.3428
