Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,3.78419e-08,0.975594,0.0244062,0.963796,0.0362038
0.01,0,3.81989e-08,0.967793,0.0322066,0.952674,0.0473261
0.01,0,3.85559e-08,0.955673,0.0443267,0.934934,0.0650662
0.01,0,3.89129e-08,0.941971,0.0580295,0.919661,0.0803389
0.01,0,3.92699e-08,0.9279,0.0720998,0.90377,0.0962303
0.01,0,3.96269e-08,0.907045,0.0929555,0.878577,0.121423
0.01,0,3.99839e-08,0.885478,0.114522,0.859201,0.140799
0.01,0,4.03409e-08,0.869443,0.130557,0.844753,0.155247
0.01,0,4.06979e-08,0.853994,0.146006,0.822812,0.177188
0.01,0,4.10549e-08,0.83351,0.16649,0.793462,0.206538
0.01,0,4.14119e-08,0.814226,0.185774,0.77027,0.22973
0.01,0,4.17689e-08,0.787409,0.212591,0.736084,0.263916
0.01,0,4.21259e-08,0.756212,0.243788,0.704591,0.295409
0.01,0,4.24829e-08,0.73604,0.26396,0.688742,0.311258
0.01,0,4.28399e-08,0.702607,0.297393,0.645895,0.354105
0.01,0,4.31969e-08,0.680387,0.319613,0.628119,0.371881
0.01,0,4.35539e-08,0.653476,0.346524,0.592932,0.407068
0.01,0,4.39109e-08,0.613267,0.386733,0.548887,0.451113
0.01,0,4.42679e-08,0.577941,0.422059,0.523497,0.476503
0.01,0,4.46249e-08,0.552123,0.447877,0.502415,0.497585
0.01,0,4.49819e-08,0.528928,0.471072,0.473765,0.526235
0.01,0,4.53389e-08,0.511056,0.488944,0.447776,0.552224
0.01,0,4.56959e-08,0.471401,0.528599,0.394934,0.605066
0.01,0,4.60529e-08,0.427169,0.572831,0.359714,0.640286
0.01,0,4.64099e-08,0.406168,0.593832,0.351914,0.648086
0.01,0,4.67669e-08,0.379682,0.620318,0.316727,0.683273
0.01,0,4.71239e-08,0.360246,0.639754,0.294272,0.705728
0.01,0,4.74809e-08,0.341276,0.658724,0.266141,0.733859
0.01,0,4.78379e-08,0.295882,0.704118,0.214604,0.785396
0.01,0,4.81949e-08,0.268962,0.731038,0.204277,0.795723
0.01,0,4.85519e-08,0.246629,0.753371,0.182844,0.817156
0.01,0,4.89089e-08,0.222618,0.777382,0.156989,0.843011
0.01,0,4.92659e-08,0.190935,0.809065,0.127605,0.872395
0.01,0,4.96229e-08,0.163204,0.836796,0.108955,0.891045
0.01,0,4.99799e-08,0.146681,0.853319,0.0980611,0.901939
0.01,0,5.03369e-08,0.126254,0.873746,0.0766068,0.923393
0.01,0,5.06939e-08,0.122988,0.877012,0.072967,0.927033
0.01,0,5.10509e-08,0.103417,0.896583,0.0457474,0.954253
0.01,0,5.14079e-08,0.085626,0.914374,0.0332714,0.966729
0.01,0,5.17649e-08,0.0716181,0.928382,0.0242012,0.975799
0.01,0,5.21219e-08,0.0662044,0.933796,0.0193507,0.980649
0.01,0,5.24789e-08,0.0511823,0.948818,0.00725274,0.992747
0.01,0,5.28359e-08,0.0383884,0.961612,0.00276452,0.997235
0.01,0,5.31929e-08,0.0300681,0.969932,0.000772722,0.999227
0.01,0,5.35499e-08,0.0284654,0.971535,0.000149,0.999851
0.01,0,5.39069e-08,0.0234337,0.976566,0.00122177,0.998778
0.01,0,5.42639e-08,0.0222143,0.977786,0.00544746,0.994553
0.01,0,5.46209e-08,0.0196607,0.980339,0.00878369,0.991216
0.01,0,5.49779e-08,0.0187009,0.981299,0.0152013,0.984799
0.01,0,5.53349e-08,0.0198384,0.980162,0.0241741,0.975826
0.01,0,5.56919e-08,0.0272322,0.972768,0.0407313,0.959269
