Time alpha beta abs_alpha2 abs_beta2
0 (1,0) (-0,0) 1 0
7.63978e-10 (0.612135,-0.487263) (0.387865,-0.487263) 0.612135 0.387865
7.67548e-10 (0.609072,-0.487958) (0.390928,-0.487958) 0.609072 0.390928
7.71118e-10 (0.606004,-0.488634) (0.393996,-0.488634) 0.606004 0.393996
7.74688e-10 (0.602931,-0.48929) (0.397069,-0.48929) 0.602931 0.397069
7.78258e-10 (0.599855,-0.489928) (0.400145,-0.489928) 0.599855 0.400145
7.81828e-10 (0.596775,-0.490545) (0.403225,-0.490545) 0.596775 0.403225
7.85398e-10 (0.593691,-0.491144) (0.406309,-0.491144) 0.593691 0.406309
7.88968e-10 (0.590603,-0.491723) (0.409397,-0.491723) 0.590603 0.409397
7.92538e-10 (0.587512,-0.492282) (0.412488,-0.492282) 0.587512 0.412488
7.96108e-10 (0.584417,-0.492822) (0.415583,-0.492822) 0.584417 0.415583
7.99678e-10 (0.581319,-0.493343) (0.418681,-0.493343) 0.581319 0.418681
8.03248e-10 (0.578217,-0.493844) (0.421783,-0.493844) 0.578217 0.421783
8.06818e-10 (0.575113,-0.494326) (0.424887,-0.494326) 0.575113 0.424887
8.10388e-10 (0.572005,-0.494788) (0.427995,-0.494788) 0.572005 0.427995
8.13958e-10 (0.568895,-0.495231) (0.431105,-0.495231) 0.568895 0.431105
8.17528e-10 (0.565782,-0.495654) (0.434218,-0.495654) 0.565782 0.434218
8.21098e-10 (0.562667,-0.496057) (0.437333,-0.496057) 0.562667 0.437333
8.24668e-10 (0.559549,-0.496441) (0.440451,-0.496441) 0.559549 0.440451
8.28238e-10 (0.556428,-0.496806) (0.443572,-0.496806) 0.556428 0.443572
8.31808e-10 (0.553306,-0.49715) (0.446694,-0.49715) 0.553306 0.446694
8.35378e-10 (0.550181,-0.497476) (0.449819,-0.497476) 0.550181 0.449819
8.38948e-10 (0.547054,-0.497781) (0.452946,-0.497781) 0.547054 0.452946
8.42518e-10 (0.543926,-0.498067) (0.456074,-0.498067) 0.543926 0.456074
8.46088e-10 (0.540795,-0.498333) (0.459205,-0.498333) 0.540795 0.459205
8.49658e-10 (0.537663,-0.498579) (0.462337,-0.498579) 0.537663 0.462337
8.53228e-10 (0.53453,-0.498806) (0.46547,-0.498806) 0.53453 0.46547
8.56798e-10 (0.531395,-0.499013) (0.468605,-0.499013) 0.531395 0.468605
8.60368e-10 (0.528259,-0.499201) (0.471741,-0.499201) 0.528259 0.471741
8.63938e-10 (0.525122,-0.499368) (0.474878,-0.499368) 0.525122 0.474878
8.67508e-10 (0.521984,-0.499516) (0.478016,-0.499516) 0.521984 0.478016
8.71078e-10 (0.518845,-0.499645) (0.481155,-0.499645) 0.518845 0.481155
8.74648e-10 (0.515705,-0.499753) (0.484295,-0.499753) 0.515705 0.484295
8.78218e-10 (0.512565,-0.499842) (0.487435,-0.499842) 0.512565 0.487435
8.81788e-10 (0.509424,-0.499911) (0.490576,-0.499911) 0.509424 0.490576
8.85358e-10 (0.506283,-0.499961) (0.493717,-0.499961) 0.506283 0.493717
8.88928e-10 (0.503142,-0.49999) (0.496858,-0.49999) 0.503142 0.496858
8.92498e-10 (0.5,-0.5) (0.5,-0.5) 0.5 0.5
8.96068e-10 (0.496858,-0.49999) (0.503142,-0.49999) 0.496858 0.503142
8.99638e-10 (0.493717,-0.499961) (0.506283,-0.499961) 0.493717 0.506283
9.03208e-10 (0.490576,-0.499911) (0.509424,-0.499911) 0.490576 0.509424
9.06778e-10 (0.487435,-0.499842) (0.512565,-0.499842) 0.487435 0.512565
9.10348e-10 (0.484295,-0.499753) (0.515705,-0.499753) 0.484295 0.515705
9.13918e-10 (0.481155,-0.499645) (0.518845,-0.499645) 0.481155 0.518845
9.17488e-10 (0.478016,-0.499516) (0.521984,-0.499516) 0.478016 0.521984
9.21058e-10 (0.474878,-0.499368) (0.525122,-0.499368) 0.474878 0.525122
9.24628e-10 (0.471741,-0.499201) (0.528259,-0.499201) 0.471741 0.528259
9.28198e-10 (0.468605,-0.499013) (0.531395,-0.499013) 0.468605 0.531395
9.31768e-10 (0.46547,-0.498806) (0.53453,-0.498806) 0.46547 0.53453
9.35338e-10 (0.462337,-0.498579) (0.537663,-0.498579) 0.462337 0.537663
9.38908e-10 (0.459205,-0.498333) (0.540795,-0.498333) 0.459205 0.540795
9.42478e-10 (0.456074,-0.498067) (0.543926,-0.498067) 0.456074 0.543926
9.46048e-10 (0.452946,-0.497781) (0.547054,-0.497781) 0.452946 0.547054
9.49618e-10 (0.449819,-0.497476) (0.550181,-0.497476) 0.449819 0.550181
9.53188e-10 (0.446694,-0.49715) (0.553306,-0.49715) 0.446694 0.553306
9.56758e-10 (0.443572,-0.496806) (0.556428,-0.496806) 0.443572 0.556428
9.60328e-10 (0.440451,-0.496441) (0.559549,-0.496441) 0.440451 0.559549
9.63898e-10 (0.437333,-0.496057) (0.562667,-0.496057) 0.437333 0.562667
9.67468e-10 (0.434218,-0.495654) (0.565782,-0.495654) 0.434218 0.565782
9.71038e-10 (0.431105,-0.495231) (0.568895,-0.495231) 0.431105 0.568895
9.74608e-10 (0.427995,-0.494788) (0.572005,-0.494788) 0.427995 0.572005
9.78178e-10 (0.424887,-0.494326) (0.575113,-0.494326) 0.424887 0.575113
9.81748e-10 (0.421783,-0.493844) (0.578217,-0.493844) 0.421783 0.578217
9.85318e-10 (0.418681,-0.493343) (0.581319,-0.493343) 0.418681 0.581319
9.88888e-10 (0.415583,-0.492822) (0.584417,-0.492822) 0.415583 0.584417
9.92458e-10 (0.412488,-0.492282) (0.587512,-0.492282) 0.412488 0.587512
9.96028e-10 (0.409397,-0.491723) (0.590603,-0.491723) 0.409397 0.590603
9.99598e-10 (0.406309,-0.491144) (0.593691,-0.491144) 0.406309 0.593691
1.00317e-09 (0.403225,-0.490545) (0.596775,-0.490545) 0.403225 0.596775
1.00674e-09 (0.400145,-0.489928) (0.599855,-0.489928) 0.400145 0.599855
1.01031e-09 (0.397069,-0.48929) (0.602931,-0.48929) 0.397069 0.602931
1.01388e-09 (0.393996,-0.488634) (0.606004,-0.488634) 0.393996 0.606004
1.01745e-09 (0.390928,-0.487958) (0.609072,-0.487958) 0.390928 0.609072
1.02102e-09 (0.387865,-0.487263) (0.612135,-0.487263) 0.387865 0.612135
1.02459e-09 (0.384805,-0.486549) (0.615195,-0.486549) 0.384805 0.615195
1.02816e-09 (0.381751,-0.485816) (0.618249,-0.485816) 0.381751 0.618249
1.03173e-09 (0.3787,-0.485063) (0.6213,-0.485063) 0.3787 0.6213
1.0353e-09 (0.375655,-0.484292) (0.624345,-0.484292) 0.375655 0.624345
1.03887e-09 (0.372615,-0.483501) (0.627385,-0.483501) 0.372615 0.627385
1.04244e-09 (0.369579,-0.482691) (0.630421,-0.482691) 0.369579 0.630421
1.04601e-09 (0.366549,-0.481862) (0.633451,-0.481862) 0.366549 0.633451
1.04958e-09 (0.363524,-0.481014) (0.636476,-0.481014) 0.363524 0.636476
1.05315e-09 (0.360504,-0.480147) (0.639496,-0.480147) 0.360504 0.639496
1.05672e-09 (0.35749,-0.479261) (0.64251,-0.479261) 0.35749 0.64251
1.06029e-09 (0.354482,-0.478356) (0.645518,-0.478356) 0.354482 0.645518
1.06386e-09 (0.351479,-0.477432) (0.648521,-0.477432) 0.351479 0.648521
1.06743e-09 (0.348482,-0.47649) (0.651518,-0.47649) 0.348482 0.651518
1.071e-09 (0.345492,-0.475528) (0.654508,-0.475528) 0.345492 0.654508
1.07457e-09 (0.342507,-0.474548) (0.657493,-0.474548) 0.342507 0.657493
1.07814e-09 (0.339528,-0.473549) (0.660472,-0.473549) 0.339528 0.660472
1.08171e-09 (0.336556,-0.472532) (0.663444,-0.472532) 0.336556 0.663444
1.08528e-09 (0.33359,-0.471495) (0.66641,-0.471495) 0.33359 0.66641
1.08885e-09 (0.330631,-0.47044) (0.669369,-0.47044) 0.330631 0.669369
1.09242e-09 (0.327679,-0.469367) (0.672321,-0.469367) 0.327679 0.672321
1.09599e-09 (0.324733,-0.468275) (0.675267,-0.468275) 0.324733 0.675267
1.09956e-09 (0.321794,-0.467164) (0.678206,-0.467164) 0.321794 0.678206
1.10313e-09 (0.318862,-0.466036) (0.681138,-0.466036) 0.318862 0.681138
1.1067e-09 (0.315938,-0.464888) (0.684062,-0.464888) 0.315938 0.684062
1.11027e-09 (0.31302,-0.463723) (0.68698,-0.463723) 0.31302 0.68698
1.11384e-09 (0.31011,-0.462539) (0.68989,-0.462539) 0.31011 0.68989
1.11741e-09 (0.307208,-0.461336) (0.692792,-0.461336) 0.307208 0.692792
1.12098e-09 (0.304313,-0.460116) (0.695687,-0.460116) 0.304313 0.695687
1.12455e-09 (0.301426,-0.458877) (0.698574,-0.458877) 0.301426 0.698574
1.12812e-09 (0.298547,-0.457621) (0.701453,-0.457621) 0.298547 0.701453
1.13169e-09 (0.295675,-0.456346) (0.704325,-0.456346) 0.295675 0.704325
