Time theta phi abs_alpha2 abs_beta2
1.17176e-10 3.14159 0.104563 5.82366e-23 1
1.1789e-10 3.14159 0.0266993 5.8593e-23 1
1.18605e-10 3.14159 -0.0509282 5.8947e-23 1
1.19319e-10 3.14159 -0.128323 5.93022e-23 1
1.20034e-10 3.14159 -0.205487 5.96584e-23 1
1.20748e-10 3.14159 -0.282421 6.00122e-23 1
1.21463e-10 3.14159 -0.359129 6.03671e-23 1
1.22177e-10 3.14159 -0.435612 6.0723e-23 1
1.22892e-10 3.14159 -0.511871 6.10799e-23 1
1.23606e-10 3.14159 -0.587908 6.14345e-23 1
1.2432e-10 3.14159 -0.663726 6.179e-23 1
1.25035e-10 3.14159 -0.739326 6.21466e-23 1
1.25749e-10 3.14159 -0.814711 6.25007e-23 1
1.26464e-10 3.14159 -0.889882 6.28558e-23 1
1.27178e-10 3.14159 -0.964841 6.32119e-23 1
1.27893e-10 3.14159 -1.03959 6.3569e-23 1
1.28607e-10 3.14159 -1.11413 6.39236e-23 1
1.29322e-10 3.14159 -1.18846 6.42791e-23 1
1.30036e-10 3.14159 -1.26259 6.46357e-23 1
1.30751e-10 3.14159 -1.33651 6.49896e-23 1
1.31465e-10 3.14159 -1.41024 6.53445e-23 1
1.3218e-10 3.14159 -1.48376 6.57004e-23 1
1.32894e-10 3.14159 -1.55708 6.60572e-23 1
1.33609e-10 3.14159 -1.63021 6.64114e-23 1
1.34323e-10 3.14159 -1.70314 6.67666e-23 1
1.35038e-10 3.14159 -1.77588 6.71226e-23 1
1.35752e-10 3.14159 -1.84843 6.74797e-23 1
1.36467e-10 3.14159 -1.92078 6.7834e-23 1
1.37181e-10 3.14159 -1.99295 6.81892e-23 1
1.37896e-10 3.14159 -2.06493 6.85454e-23 1
1.3861e-10 3.14159 -2.13672 6.89025e-23 1
1.39325e-10 3.14159 -2.20833 6.92569e-23 1
1.40039e-10 3.14159 -2.27975 6.96121e-23 1
1.40754e-10 3.14159 -2.35099 6.99683e-23 1
1.41468e-10 3.14159 -2.42205 7.03253e-23 1
1.42183e-10 3.14159 -2.49293 7.06796e-23 1
1.42897e-10 3.14159 -2.56364 7.10347e-23 1
1.43612e-10 3.14159 -2.63416 7.13907e-23 1
1.44326e-10 3.14159 -2.70451 7.17476e-23 1
1.45041e-10 3.14159 -2.77469 7.21016e-23 1
1.45755e-10 3.14159 -2.8447 7.24565e-23 1
1.4647e-10 3.14159 -2.91453 7.28123e-23 1
1.47184e-10 3.14159 -2.98419 7.3169e-23 1
1.47898e-10 3.14159 -3.05369 7.35227e-23 1
1.48613e-10 3.14159 -3.12302 7.38772e-23 1
1.49327e-10 3.14159 -3.19218 7.42326e-23 1
1.50042e-10 3.14159 3.02201 7.45889e-23 1
1.50756e-10 3.14159 2.95318 7.4946e-23 1
1.51471e-10 3.14159 2.88451 7.53001e-23 1
1.52185e-10 3.14159 2.81601 7.56551e-23 1
1.529e-10 3.14159 2.74766 7.60109e-23 1
1.53614e-10 3.14159 2.67947 7.63675e-23 1
1.54329e-10 3.14159 2.61144 7.67249e-23 1
1.55043e-10 3.14159 2.54357 7.70793e-23 1
1.55758e-10 3.14159 2.47586 7.74345e-23 1
1.56472e-10 3.14159 2.4083 7.77905e-23 1
1.57187e-10 3.14159 2.3409 7.81474e-23 1
1.57901e-10 3.14159 2.27365 7.85011e-23 1
1.58616e-10 3.14159 2.20655 7.88556e-23 1
1.5933e-10 3.14159 2.1396 7.92109e-23 1
1.60045e-10 3.14159 2.0728 7.95671e-23 1
1.60759e-10 3.14159 2.00615 7.9924e-23 1
1.61474e-10 3.14159 1.93965 8.02777e-23 1
1.62188e-10 3.14159 1.87329 8.06322e-23 1
1.62903e-10 3.14159 1.80708 8.09875e-23 1
1.63617e-10 3.14159 1.74102 8.13436e-23 1
1.64332e-10 3.14159 1.67509 8.17005e-23 1
1.65046e-10 3.14159 1.60932 8.20541e-23 1
1.65761e-10 3.14159 1.54368 8.24085e-23 1
1.66475e-10 3.14159 1.47819 8.27636e-23 1
1.6719e-10 3.14159 1.41283 8.31195e-23 1
1.67904e-10 3.14159 1.34762 8.34762e-23 1
1.68619e-10 3.14159 1.28254 8.38336e-23 1
1.69333e-10 3.14159 1.21761 8.41878e-23 1
1.70048e-10 3.14159 1.15281 8.45426e-23 1
1.70762e-10 3.14159 1.08814 8.48982e-23 1
1.71477e-10 3.14159 1.02361 8.52546e-23 1
1.72191e-10 3.14159 0.959217 8.56117e-23 1
1.72905e-10 3.14159 0.894956 8.59655e-23 1
1.7362e-10 3.14159 0.830827 8.63199e-23 1
1.74334e-10 3.14159 0.766829 8.66751e-23 1
1.75049e-10 3.14159 0.702963 8.7031e-23 1
1.75763e-10 3.14159 0.639226 8.73877e-23 1
1.76478e-10 3.14159 0.57562 8.77451e-23 1
1.77192e-10 3.14159 0.512143 8.8099e-23 1
1.77907e-10 3.14159 0.448793 8.84537e-23 1
1.78621e-10 3.14159 0.38557 8.88091e-23 1
1.79336e-10 3.14159 0.322473 8.91652e-23 1
1.8005e-10 3.14159 0.259502 8.95219e-23 1
1.80765e-10 3.14159 0.196657 8.98795e-23 1
1.81479e-10 3.14159 0.133936 9.02335e-23 1
1.82194e-10 3.14159 0.071338 9.05882e-23 1
1.82908e-10 3.14159 0.0088623 9.09436e-23 1
1.83623e-10 3.14159 -0.0534915 9.12996e-23 1
1.84337e-10 3.14159 -0.115724 9.16564e-23 1
1.85052e-10 3.14159 -0.177835 9.20139e-23 1
1.85766e-10 3.14159 -0.239826 9.23678e-23 1
1.86481e-10 3.14159 -0.301699 9.27224e-23 1
1.87195e-10 3.14159 -0.363453 9.30777e-23 1
1.8791e-10 3.14159 -0.42509 9.34336e-23 1
1.88624e-10 3.14159 -0.486609 9.37903e-23 1
1.89339e-10 3.14159 -0.548012 9.41476e-23 1
1.90053e-10 3.14159 -0.609298 9.45012e-23 1
1.90768e-10 3.14159 -0.67047 9.48556e-23 1
1.91482e-10 3.14159 -0.731528 9.52105e-23 1
1.92197e-10 3.14159 -0.792472 9.55662e-23 1
1.92911e-10 3.14159 -0.853302 9.59225e-23 1
1.93626e-10 3.14159 -0.914021 9.62795e-23 1
1.9434e-10 3.14159 -0.974626 9.66372e-23 1
1.95055e-10 3.14159 -1.03512 9.69911e-23 1
1.95769e-10 3.14159 -1.0955 9.73457e-23 1
1.96484e-10 3.14159 -1.15578 9.77009e-23 1
1.97198e-10 3.14159 -1.21594 9.80568e-23 1
1.97912e-10 3.14159 -1.276 9.84133e-23 1
1.98627e-10 3.14159 -1.33594 9.87705e-23 1
1.99341e-10 3.14159 -1.39578 9.91283e-23 1
2.00056e-10 3.14159 -1.45551 9.94823e-23 1
2.0077e-10 3.14159 -1.51514 9.9837e-23 1
2.01485e-10 3.14159 -1.57465 1.00192e-22 1
2.02199e-10 3.14159 -1.63407 1.00548e-22 1
2.02914e-10 3.14159 -1.69338 1.00905e-22 1
2.03628e-10 3.14159 -1.75258 1.01262e-22 1
2.04343e-10 3.14159 -1.81168 1.0162e-22 1
2.05057e-10 3.14159 -1.87068 1.01974e-22 1
2.05772e-10 3.14159 -1.92957 1.02328e-22 1
2.06486e-10 3.14159 -1.98836 1.02684e-22 1
2.07201e-10 3.14159 -2.04705 1.03039e-22 1
2.07915e-10 3.14159 -2.10564 1.03396e-22 1
2.0863e-10 3.14159 -2.16413 1.03753e-22 1
2.09344e-10 3.14159 -2.22251 1.0411e-22 1
2.10059e-10 3.14159 -2.2808 1.04464e-22 1
2.10773e-10 3.14159 -2.33899 1.04819e-22 1
2.11488e-10 3.14159 -2.39708 1.05174e-22 1
2.12202e-10 3.14159 -2.45507 1.05529e-22 1
2.12917e-10 3.14159 -2.51297 1.05885e-22 1
2.13631e-10 3.14159 -2.57076 1.06242e-22 1
